group,alignment_threshold,authenticity_threshold,probability
Sys_VAR_noexpert,0.02,0.88,0.28999999999999987
Sys_VAR_noexpert,0.02,0.9,0.26799999999999985
Sys_VAR_noexpert,0.02,0.92,0.24599999999999994
Sys_VAR_noexpert,0.02,0.94,0.20799999999999993
Sys_VAR_noexpert,0.02,0.96,0.18399999999999994
Sys_VAR_noexpert,0.02,0.98,0.16399999999999995
Sys_VAR_noexpert,0.02,1.0,0.15199999999999994
Sys_VAR_noexpert,0.04,0.0,0.9779999999999996
Sys_VAR_noexpert,0.04,0.02,0.9779999999999996
Sys_VAR_noexpert,0.04,0.04,0.9779999999999996
Sys_VAR_noexpert,0.04,0.06,0.9779999999999996
Sys_VAR_noexpert,0.04,0.08,0.9779999999999996
Sys_VAR_noexpert,0.04,0.1,0.9779999999999996
Sys_VAR_noexpert,0.04,0.12,0.9779999999999996
Sys_VAR_noexpert,0.04,0.14,0.9779999999999996
Sys_VAR_noexpert,0.04,0.16,0.9779999999999996
Sys_VAR_noexpert,0.04,0.18,0.9779999999999996
Sys_VAR_noexpert,0.04,0.2,0.9779999999999996
Sys_VAR_noexpert,0.04,0.22,0.9759999999999998
Sys_VAR_noexpert,0.04,0.24,0.9719999999999996
Sys_VAR_noexpert,0.04,0.26,0.9599999999999997
Sys_VAR_noexpert,0.04,0.28,0.9479999999999994
Sys_VAR_noexpert,0.04,0.3,0.9439999999999995
Sys_VAR_noexpert,0.04,0.32,0.9419999999999995
Sys_VAR_noexpert,0.04,0.34,0.9319999999999997
Sys_VAR_noexpert,0.04,0.36,0.9239999999999998
Sys_VAR_noexpert,0.04,0.38,0.9059999999999997
Sys_VAR_noexpert,0.04,0.4,0.8879999999999998
Sys_VAR_noexpert,0.04,0.42,0.8839999999999998
Sys_VAR_noexpert,0.04,0.44,0.8799999999999997
Sys_VAR_noexpert,0.04,0.46,0.8699999999999997
Sys_VAR_noexpert,0.04,0.48,0.8599999999999998
Sys_VAR_noexpert,0.04,0.5,0.8499999999999994
Sys_VAR_noexpert,0.04,0.52,0.8359999999999995
Sys_VAR_noexpert,0.04,0.54,0.8179999999999994
Sys_VAR_noexpert,0.04,0.56,0.8059999999999994
Sys_VAR_noexpert,0.04,0.58,0.7819999999999995
Sys_VAR_noexpert,0.04,0.6,0.7659999999999993
Sys_VAR_noexpert,0.04,0.62,0.7539999999999994
Sys_VAR_noexpert,0.04,0.64,0.7339999999999995
Sys_VAR_noexpert,0.04,0.66,0.7059999999999996
Sys_VAR_noexpert,0.04,0.68,0.6779999999999998
Sys_VAR_noexpert,0.04,0.7,0.6539999999999999
Sys_VAR_noexpert,0.04,0.72,0.6179999999999999
Sys_VAR_noexpert,0.04,0.74,0.5740000000000001
Sys_VAR_noexpert,0.04,0.76,0.5420000000000001
Sys_VAR_noexpert,0.04,0.78,0.4599999999999999
Sys_VAR_noexpert,0.04,0.8,0.43399999999999983
Sys_VAR_noexpert,0.04,0.82,0.39999999999999986
Sys_VAR_noexpert,0.04,0.84,0.36800000000000005
Sys_VAR_noexpert,0.04,0.86,0.3159999999999999
Sys_VAR_noexpert,0.04,0.88,0.2879999999999999
Sys_VAR_noexpert,0.04,0.9,0.26599999999999985
Sys_VAR_noexpert,0.04,0.92,0.24399999999999994
Sys_VAR_noexpert,0.04,0.94,0.20599999999999993
Sys_VAR_noexpert,0.04,0.96,0.18199999999999997
Sys_VAR_noexpert,0.04,0.98,0.16199999999999995
Sys_VAR_noexpert,0.04,1.0,0.15199999999999994
Sys_VAR_noexpert,0.06,0.0,0.9739999999999998
Sys_VAR_noexpert,0.06,0.02,0.9739999999999998
Sys_VAR_noexpert,0.06,0.04,0.9739999999999998
Sys_VAR_noexpert,0.06,0.06,0.9739999999999998
Sys_VAR_noexpert,0.06,0.08,0.9739999999999998
Sys_VAR_noexpert,0.06,0.1,0.9739999999999998
Sys_VAR_noexpert,0.06,0.12,0.9739999999999998
Sys_VAR_noexpert,0.06,0.14,0.9739999999999998
Sys_VAR_noexpert,0.06,0.16,0.9739999999999998
Sys_VAR_noexpert,0.06,0.18,0.9739999999999998
Sys_VAR_noexpert,0.06,0.2,0.9739999999999998
Sys_VAR_noexpert,0.06,0.22,0.9719999999999999
Sys_VAR_noexpert,0.06,0.24,0.9679999999999996
Sys_VAR_noexpert,0.06,0.26,0.9559999999999998
Sys_VAR_noexpert,0.06,0.28,0.9439999999999995
Sys_VAR_noexpert,0.06,0.3,0.9399999999999996
Sys_VAR_noexpert,0.06,0.32,0.9379999999999995
Sys_VAR_noexpert,0.06,0.34,0.9279999999999998
Sys_VAR_noexpert,0.06,0.36,0.9199999999999998
Sys_VAR_noexpert,0.06,0.38,0.9019999999999997
Sys_VAR_noexpert,0.06,0.4,0.8839999999999999
Sys_VAR_noexpert,0.06,0.42,0.8799999999999999
Sys_VAR_noexpert,0.06,0.44,0.8759999999999998
Sys_VAR_noexpert,0.06,0.46,0.8659999999999998
Sys_VAR_noexpert,0.06,0.48,0.8559999999999998
Sys_VAR_noexpert,0.06,0.5,0.8459999999999995
Sys_VAR_noexpert,0.06,0.52,0.8319999999999996
Sys_VAR_noexpert,0.06,0.54,0.8139999999999995
Sys_VAR_noexpert,0.06,0.56,0.8019999999999995
Sys_VAR_noexpert,0.06,0.58,0.7779999999999994
Sys_VAR_noexpert,0.06,0.6,0.7619999999999993
Sys_VAR_noexpert,0.06,0.62,0.7499999999999994
Sys_VAR_noexpert,0.06,0.64,0.7299999999999995
Sys_VAR_noexpert,0.06,0.66,0.7019999999999996
Sys_VAR_noexpert,0.06,0.68,0.6739999999999999
Sys_VAR_noexpert,0.06,0.7,0.65
Sys_VAR_noexpert,0.06,0.72,0.6139999999999999
Sys_VAR_noexpert,0.06,0.74,0.5720000000000001
Sys_VAR_noexpert,0.06,0.76,0.5400000000000001
Sys_VAR_noexpert,0.06,0.78,0.4599999999999999
Sys_VAR_noexpert,0.06,0.8,0.43399999999999983
Sys_VAR_noexpert,0.06,0.82,0.39999999999999986
Sys_VAR_noexpert,0.06,0.84,0.36800000000000005
Sys_VAR_noexpert,0.06,0.86,0.3159999999999999
Sys_VAR_noexpert,0.06,0.88,0.2879999999999999
Sys_VAR_noexpert,0.06,0.9,0.26599999999999985
Sys_VAR_noexpert,0.06,0.92,0.24399999999999994
Sys_VAR_noexpert,0.06,0.94,0.20599999999999993
Sys_VAR_noexpert,0.06,0.96,0.18199999999999997
Sys_VAR_noexpert,0.06,0.98,0.16199999999999995
Sys_VAR_noexpert,0.06,1.0,0.15199999999999994
Sys_VAR_noexpert,0.08,0.0,0.9699999999999999
Sys_VAR_noexpert,0.08,0.02,0.9699999999999999
Sys_VAR_noexpert,0.08,0.04,0.9699999999999999
Sys_VAR_noexpert,0.08,0.06,0.9699999999999999
Sys_VAR_noexpert,0.08,0.08,0.9699999999999999
Sys_VAR_noexpert,0.08,0.1,0.9699999999999999
Sys_VAR_noexpert,0.08,0.12,0.9699999999999999
Sys_VAR_noexpert,0.08,0.14,0.9699999999999999
Sys_VAR_noexpert,0.08,0.16,0.9699999999999999
Sys_VAR_noexpert,0.08,0.18,0.9699999999999999
Sys_VAR_noexpert,0.08,0.2,0.9699999999999999
Sys_VAR_noexpert,0.08,0.22,0.9679999999999996
Sys_VAR_noexpert,0.08,0.24,0.9639999999999997
