score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_VAR_noexpert,3.8969,3.9191,-0.0222,-0.0117,41.6,50.2,0.7429,0.6714,0.7414,0.7411
artifact_score,Sys_VAR_noexpert,3.7459,3.0453,0.7006,0.6667,80.2,16.4,0.6972,0.6823,0.5637,0.6972
