group,score_type,n_common_images,mean_score,std_across_runs (avg per-image std),cv_across_runs (avg per-image CV),icc_2_1 (absolute agreement),icc_3_1 (consistency),avg_pairwise_pearson_r
Sys_VAR_noexpert,alignment_score,500,3.8969,0.2856,0.1224,0.8697,0.8699,0.87
Sys_VAR_noexpert,artifact_score,500,3.7459,0.3491,0.1101,0.7975,0.7972,0.7972
Human_VAR_500,alignment_score,500,3.9191,0.3008,0.1263,0.8207,0.821,0.8211
Human_VAR_500,artifact_score,500,3.0453,0.3912,0.1432,0.737,0.7371,0.7371
