model,FID,FID_rank,Human_composite_product,Human_rank,Sys_composite_product,Sys_rank
JiT_FDloss,0.72,1.5,0.5435,1.0,0.4889,1.0
IMF_FDloss,0.72,1.5,0.5267,2.0,0.4783,2.0
DiT,2.27,5.0,0.5081,3.0,0.4634,3.0
VAR,2.09,4.0,0.5015,4.0,0.4575,4.0
IMF,1.54,3.0,0.4814,5.0,0.4308,5.0
