source,alignment_norm,authenticity_norm,composite_product,composite_harmonic,alignment_norm_std,alignment_norm_se,alignment_norm_ci_low,alignment_norm_ci_high,authenticity_norm_std,authenticity_norm_se,authenticity_norm_ci_low,authenticity_norm_ci_high,composite_product_std,composite_product_se,composite_product_ci_low,composite_product_ci_high,composite_harmonic_std,composite_harmonic_se,composite_harmonic_ci_low,composite_harmonic_ci_high
Sys_VAR_ref_800_1,0.7616,0.5536,0.4491,0.6127,0.1524,0.0152,0.7314,0.7918,0.1388,0.0139,0.5261,0.5811,0.1615,0.0161,0.4171,0.4811,0.1403,0.014,0.5849,0.6405
Sys_VAR_ref_800_2,0.7688,0.5625,0.4602,0.6227,0.1541,0.0154,0.7382,0.7994,0.1391,0.0139,0.5349,0.5901,0.1649,0.0165,0.4275,0.4929,0.1455,0.0145,0.5938,0.6516
Sys_VAR_ref_800_3,0.7638,0.5694,0.4625,0.6232,0.1632,0.0163,0.7314,0.7962,0.1439,0.0144,0.5408,0.598,0.1659,0.0166,0.4296,0.4954,0.1479,0.0148,0.5939,0.6525
User_VAR_800_1,0.7947,0.6042,0.5066,0.6484,0.1844,0.0184,0.7581,0.8313,0.138,0.0138,0.5768,0.6316,0.1761,0.0176,0.4717,0.5415,0.164,0.0164,0.6159,0.6809
User_VAR_800_2,0.7842,0.6061,0.5011,0.6443,0.1799,0.018,0.7485,0.8199,0.1466,0.0147,0.577,0.6352,0.181,0.0181,0.4652,0.537,0.1675,0.0167,0.6111,0.6775
User_VAR_800_3,0.7867,0.6153,0.5097,0.6499,0.1929,0.0193,0.7484,0.825,0.1398,0.014,0.5876,0.643,0.184,0.0184,0.4732,0.5462,0.1694,0.0169,0.6163,0.6835
Sys_VAR_ref_800_AVG_STATS,0.7647,0.5618,0.4573,0.6195,0.1566,0.0156,0.7337,0.7958,0.1406,0.0141,0.5339,0.5897,0.1641,0.0164,0.4247,0.4898,0.1446,0.0144,0.5909,0.6482
Sys_VAR_ref_800_AVG_PERCLASS,0.7647,0.5618,0.4573,0.6195,0.1539,0.0154,0.7342,0.7953,0.1366,0.0137,0.5347,0.5889,0.1603,0.016,0.4255,0.4891,0.1415,0.0141,0.5915,0.6476
Human_VAR_800_AVG_STATS,0.7885,0.6085,0.5058,0.6475,0.1857,0.0186,0.7517,0.8254,0.1415,0.0142,0.5805,0.6366,0.1804,0.018,0.47,0.5416,0.167,0.0167,0.6144,0.6806
Human_VAR_800_AVG_PERCLASS,0.7885,0.6085,0.5058,0.6475,0.1831,0.0183,0.7522,0.8249,0.1376,0.0138,0.5812,0.6358,0.1774,0.0177,0.4706,0.541,0.1644,0.0164,0.6149,0.6802
