score_type,sys_group,human_group,sys_source,human_source,aggregation,n_common,threshold,n_positive,n_negative,auc
alignment_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_1,User_VAR_800_1,individual,800,4.38,438,362,0.8217
alignment_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_1,User_VAR_800_2,individual,800,4.38,414,386,0.8293
alignment_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_1,User_VAR_800_3,individual,799,4.38,433,366,0.8246
alignment_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_2,User_VAR_800_1,individual,799,4.38,437,362,0.8262
alignment_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_2,User_VAR_800_2,individual,799,4.38,413,386,0.8133
alignment_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_2,User_VAR_800_3,individual,798,4.38,432,366,0.813
alignment_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_3,User_VAR_800_1,individual,800,4.38,438,362,0.8494
alignment_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_3,User_VAR_800_2,individual,800,4.38,414,386,0.821
alignment_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_3,User_VAR_800_3,individual,799,4.38,433,366,0.8431
authenticity_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_1,User_VAR_800_1,individual,800,3.0,501,299,0.8142
authenticity_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_1,User_VAR_800_2,individual,800,3.0,516,284,0.8104
authenticity_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_1,User_VAR_800_3,individual,799,3.0,532,267,0.8002
authenticity_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_2,User_VAR_800_1,individual,799,3.0,500,299,0.8606
authenticity_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_2,User_VAR_800_2,individual,799,3.0,515,284,0.8511
authenticity_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_2,User_VAR_800_3,individual,798,3.0,531,267,0.8308
authenticity_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_3,User_VAR_800_1,individual,800,3.0,501,299,0.8324
authenticity_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_3,User_VAR_800_2,individual,800,3.0,516,284,0.8372
authenticity_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800_3,User_VAR_800_3,individual,799,3.0,532,267,0.821
alignment_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800 (avg),Human_VAR_800 (avg),group_avg,800,4.38,413,387,0.8819
authenticity_score,Sys_VAR_ref_800,Human_VAR_800,Sys_VAR_ref_800 (avg),Human_VAR_800 (avg),group_avg,800,3.0,468,332,0.8915
