group,score_type,n_common_images,mean_score,std_across_runs (avg per-image std),cv_across_runs (avg per-image CV),icc_2_1 (absolute agreement),icc_3_1 (consistency),avg_pairwise_pearson_r
Sys_VAR_ref_800,alignment_score,799,3.8225,0.3649,0.1483,0.8153,0.8153,0.8153
Sys_VAR_ref_800,authenticity_score,799,2.8093,0.4319,0.1585,0.729,0.7297,0.7298
Human_VAR_800,alignment_score,799,3.9413,0.2961,0.12,0.8171,0.8173,0.8172
Human_VAR_800,authenticity_score,799,3.0442,0.3854,0.1441,0.7528,0.7532,0.7531
