score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_VAR_ref_800,3.8229,3.9413,-0.1184,-0.17,31.13,67.5,0.7673,0.7277,0.7582,0.7613
artifact_score,Sys_VAR_ref_800,2.8076,3.0442,-0.2365,-0.19,35.75,63.5,0.781,0.7759,0.761,0.7808
