source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean
Sys_VAR_ref_800_1,4,0.87,0.6,0.53,0.69
Sys_VAR_ref_800_1,7,0.84,0.5,0.43,0.59
Sys_VAR_ref_800_1,10,0.79,0.52,0.41,0.59
Sys_VAR_ref_800_1,25,0.82,0.75,0.65,0.77
Sys_VAR_ref_800_1,35,0.7,0.57,0.44,0.62
Sys_VAR_ref_800_1,39,0.81,0.62,0.54,0.68
Sys_VAR_ref_800_1,49,0.68,0.65,0.47,0.65
Sys_VAR_ref_800_1,51,0.86,0.64,0.58,0.72
Sys_VAR_ref_800_1,52,0.75,0.69,0.55,0.72
Sys_VAR_ref_800_1,64,0.68,0.7,0.52,0.66
Sys_VAR_ref_800_1,80,0.82,0.32,0.26,0.46
Sys_VAR_ref_800_1,97,0.92,0.78,0.72,0.82
Sys_VAR_ref_800_1,106,0.94,0.63,0.6,0.74
Sys_VAR_ref_800_1,116,0.97,0.81,0.78,0.87
Sys_VAR_ref_800_1,118,0.61,0.43,0.31,0.49
Sys_VAR_ref_800_1,129,0.81,0.46,0.38,0.57
Sys_VAR_ref_800_1,144,0.82,0.4,0.33,0.52
Sys_VAR_ref_800_1,147,0.93,0.72,0.67,0.81
Sys_VAR_ref_800_1,150,0.82,0.42,0.34,0.55
Sys_VAR_ref_800_1,156,0.91,0.43,0.4,0.57
Sys_VAR_ref_800_1,159,0.75,0.41,0.31,0.52
Sys_VAR_ref_800_1,281,0.82,0.29,0.24,0.42
Sys_VAR_ref_800_1,300,0.83,0.69,0.64,0.73
Sys_VAR_ref_800_1,322,0.87,0.81,0.76,0.84
Sys_VAR_ref_800_1,330,0.81,0.54,0.46,0.64
Sys_VAR_ref_800_1,333,0.69,0.33,0.25,0.44
Sys_VAR_ref_800_1,339,0.7,0.46,0.35,0.54
Sys_VAR_ref_800_1,347,0.97,0.69,0.67,0.78
Sys_VAR_ref_800_1,356,0.88,0.49,0.44,0.62
Sys_VAR_ref_800_1,365,0.78,0.4,0.33,0.51
Sys_VAR_ref_800_1,370,0.88,0.46,0.41,0.59
Sys_VAR_ref_800_1,389,0.36,0.44,0.17,0.36
Sys_VAR_ref_800_1,392,0.69,0.6,0.45,0.63
Sys_VAR_ref_800_1,394,0.86,0.58,0.53,0.68
Sys_VAR_ref_800_1,396,0.94,0.76,0.71,0.84
Sys_VAR_ref_800_1,400,0.87,0.43,0.38,0.54
Sys_VAR_ref_800_1,405,0.66,0.49,0.35,0.55
Sys_VAR_ref_800_1,406,0.85,0.65,0.56,0.72
Sys_VAR_ref_800_1,413,0.75,0.48,0.35,0.54
Sys_VAR_ref_800_1,415,0.35,0.56,0.17,0.33
Sys_VAR_ref_800_1,419,0.67,0.55,0.44,0.58
Sys_VAR_ref_800_1,421,0.64,0.49,0.33,0.55
Sys_VAR_ref_800_1,426,0.52,0.35,0.17,0.39
Sys_VAR_ref_800_1,429,0.61,0.56,0.43,0.55
Sys_VAR_ref_800_1,432,0.84,0.46,0.39,0.57
Sys_VAR_ref_800_1,443,0.94,0.77,0.73,0.83
Sys_VAR_ref_800_1,446,0.68,0.57,0.41,0.59
Sys_VAR_ref_800_1,453,0.9,0.54,0.49,0.67
Sys_VAR_ref_800_1,461,0.62,0.67,0.49,0.62
Sys_VAR_ref_800_1,477,0.55,0.49,0.27,0.5
Sys_VAR_ref_800_1,479,0.91,0.68,0.63,0.77
Sys_VAR_ref_800_1,481,0.71,0.48,0.38,0.55
Sys_VAR_ref_800_1,488,0.78,0.64,0.53,0.7
Sys_VAR_ref_800_1,499,0.72,0.5,0.42,0.58
Sys_VAR_ref_800_1,529,0.81,0.49,0.42,0.59
Sys_VAR_ref_800_1,535,0.79,0.62,0.5,0.69
Sys_VAR_ref_800_1,554,0.97,0.51,0.49,0.65
Sys_VAR_ref_800_1,567,0.79,0.53,0.45,0.62
Sys_VAR_ref_800_1,575,0.81,0.44,0.38,0.56
Sys_VAR_ref_800_1,585,0.39,0.35,0.16,0.33
Sys_VAR_ref_800_1,590,0.74,0.51,0.41,0.59
Sys_VAR_ref_800_1,605,0.78,0.63,0.5,0.65
Sys_VAR_ref_800_1,606,0.68,0.48,0.36,0.53
Sys_VAR_ref_800_1,626,0.75,0.48,0.39,0.58
Sys_VAR_ref_800_1,632,0.82,0.56,0.48,0.66
Sys_VAR_ref_800_1,633,0.77,0.45,0.36,0.55
Sys_VAR_ref_800_1,634,0.58,0.44,0.28,0.48
Sys_VAR_ref_800_1,645,0.81,0.41,0.33,0.51
Sys_VAR_ref_800_1,654,0.89,0.54,0.48,0.66
Sys_VAR_ref_800_1,679,0.83,0.67,0.57,0.73
Sys_VAR_ref_800_1,687,0.92,0.7,0.64,0.79
Sys_VAR_ref_800_1,730,0.68,0.52,0.4,0.57
Sys_VAR_ref_800_1,743,0.9,0.63,0.57,0.73
Sys_VAR_ref_800_1,746,0.55,0.43,0.27,0.39
Sys_VAR_ref_800_1,755,0.87,0.74,0.64,0.79
Sys_VAR_ref_800_1,756,0.85,0.64,0.54,0.71
Sys_VAR_ref_800_1,806,0.95,0.84,0.8,0.89
Sys_VAR_ref_800_1,810,0.56,0.51,0.37,0.5
Sys_VAR_ref_800_1,819,0.62,0.42,0.25,0.47
Sys_VAR_ref_800_1,836,0.28,0.53,0.2,0.27
Sys_VAR_ref_800_1,903,0.58,0.45,0.29,0.5
Sys_VAR_ref_800_1,917,0.72,0.45,0.33,0.55
Sys_VAR_ref_800_1,919,0.38,0.3,0.11,0.32
Sys_VAR_ref_800_1,920,0.87,0.67,0.59,0.74
Sys_VAR_ref_800_1,922,0.31,0.28,0.1,0.27
Sys_VAR_ref_800_1,928,0.82,0.69,0.56,0.73
Sys_VAR_ref_800_1,931,0.9,0.72,0.64,0.78
Sys_VAR_ref_800_1,943,0.9,0.78,0.7,0.83
Sys_VAR_ref_800_1,952,0.85,0.84,0.71,0.78
Sys_VAR_ref_800_1,960,0.91,0.64,0.59,0.75
Sys_VAR_ref_800_1,962,0.83,0.73,0.61,0.77
Sys_VAR_ref_800_1,968,0.87,0.72,0.62,0.78
