group,alignment_threshold,authenticity_threshold,probability
Sys_VAR_ref_800,0.0,0.0,1.0
Sys_VAR_ref_800,0.0,0.02,1.0
Sys_VAR_ref_800,0.0,0.04,1.0
Sys_VAR_ref_800,0.0,0.06,1.0
Sys_VAR_ref_800,0.0,0.08,1.0
Sys_VAR_ref_800,0.0,0.1,1.0
Sys_VAR_ref_800,0.0,0.12,0.99875
Sys_VAR_ref_800,0.0,0.14,0.9975
Sys_VAR_ref_800,0.0,0.16,0.99375
Sys_VAR_ref_800,0.0,0.18,0.9925
Sys_VAR_ref_800,0.0,0.2,0.99
Sys_VAR_ref_800,0.0,0.22,0.9825
Sys_VAR_ref_800,0.0,0.24,0.98
Sys_VAR_ref_800,0.0,0.26,0.96125
Sys_VAR_ref_800,0.0,0.28,0.94875
Sys_VAR_ref_800,0.0,0.3,0.9275
Sys_VAR_ref_800,0.0,0.32,0.80625
Sys_VAR_ref_800,0.0,0.34,0.79
Sys_VAR_ref_800,0.0,0.36,0.7725
Sys_VAR_ref_800,0.0,0.38,0.755
Sys_VAR_ref_800,0.0,0.4,0.725
Sys_VAR_ref_800,0.0,0.42,0.69875
Sys_VAR_ref_800,0.0,0.44,0.68
Sys_VAR_ref_800,0.0,0.46,0.65125
Sys_VAR_ref_800,0.0,0.48,0.62
Sys_VAR_ref_800,0.0,0.5,0.60625
Sys_VAR_ref_800,0.0,0.52,0.58125
Sys_VAR_ref_800,0.0,0.54,0.5475
Sys_VAR_ref_800,0.0,0.56,0.52625
Sys_VAR_ref_800,0.0,0.58,0.48875
Sys_VAR_ref_800,0.0,0.6,0.4625
Sys_VAR_ref_800,0.0,0.62,0.42375
Sys_VAR_ref_800,0.0,0.64,0.37875
Sys_VAR_ref_800,0.0,0.66,0.36
Sys_VAR_ref_800,0.0,0.68,0.32625
Sys_VAR_ref_800,0.0,0.7,0.28875
Sys_VAR_ref_800,0.0,0.72,0.26375
Sys_VAR_ref_800,0.0,0.74,0.23125
Sys_VAR_ref_800,0.0,0.76,0.1725
Sys_VAR_ref_800,0.0,0.78,0.1375
Sys_VAR_ref_800,0.0,0.8,0.11875
Sys_VAR_ref_800,0.0,0.82,0.10375
Sys_VAR_ref_800,0.0,0.84,0.07875
Sys_VAR_ref_800,0.0,0.86,0.065
Sys_VAR_ref_800,0.0,0.88,0.06125
Sys_VAR_ref_800,0.0,0.9,0.04875
Sys_VAR_ref_800,0.0,0.92,0.04
Sys_VAR_ref_800,0.0,0.94,0.035
Sys_VAR_ref_800,0.0,0.96,0.03375
Sys_VAR_ref_800,0.0,0.98,0.01625
Sys_VAR_ref_800,0.0,1.0,0.00375
Sys_VAR_ref_800,0.02,0.0,0.9875
Sys_VAR_ref_800,0.02,0.02,0.9875
Sys_VAR_ref_800,0.02,0.04,0.9875
Sys_VAR_ref_800,0.02,0.06,0.9875
Sys_VAR_ref_800,0.02,0.08,0.9875
Sys_VAR_ref_800,0.02,0.1,0.9875
Sys_VAR_ref_800,0.02,0.12,0.9875
Sys_VAR_ref_800,0.02,0.14,0.98625
Sys_VAR_ref_800,0.02,0.16,0.98375
Sys_VAR_ref_800,0.02,0.18,0.9825
Sys_VAR_ref_800,0.02,0.2,0.98
Sys_VAR_ref_800,0.02,0.22,0.9725
Sys_VAR_ref_800,0.02,0.24,0.97
Sys_VAR_ref_800,0.02,0.26,0.955
Sys_VAR_ref_800,0.02,0.28,0.94375
Sys_VAR_ref_800,0.02,0.3,0.9225
Sys_VAR_ref_800,0.02,0.32,0.8025
Sys_VAR_ref_800,0.02,0.34,0.78625
Sys_VAR_ref_800,0.02,0.36,0.76875
Sys_VAR_ref_800,0.02,0.38,0.75125
Sys_VAR_ref_800,0.02,0.4,0.7225
Sys_VAR_ref_800,0.02,0.42,0.69625
Sys_VAR_ref_800,0.02,0.44,0.6775
Sys_VAR_ref_800,0.02,0.46,0.64875
Sys_VAR_ref_800,0.02,0.48,0.6175
Sys_VAR_ref_800,0.02,0.5,0.60375
Sys_VAR_ref_800,0.02,0.52,0.57875
Sys_VAR_ref_800,0.02,0.54,0.545
Sys_VAR_ref_800,0.02,0.56,0.52375
Sys_VAR_ref_800,0.02,0.58,0.48625
Sys_VAR_ref_800,0.02,0.6,0.46125
Sys_VAR_ref_800,0.02,0.62,0.4225
Sys_VAR_ref_800,0.02,0.64,0.3775
Sys_VAR_ref_800,0.02,0.66,0.35875
Sys_VAR_ref_800,0.02,0.68,0.325
Sys_VAR_ref_800,0.02,0.7,0.2875
Sys_VAR_ref_800,0.02,0.72,0.2625
Sys_VAR_ref_800,0.02,0.74,0.23
Sys_VAR_ref_800,0.02,0.76,0.17125
Sys_VAR_ref_800,0.02,0.78,0.13625
Sys_VAR_ref_800,0.02,0.8,0.1175
Sys_VAR_ref_800,0.02,0.82,0.1025
Sys_VAR_ref_800,0.02,0.84,0.0775
Sys_VAR_ref_800,0.02,0.86,0.065
Sys_VAR_ref_800,0.02,0.88,0.06125
Sys_VAR_ref_800,0.02,0.9,0.04875
Sys_VAR_ref_800,0.02,0.92,0.04
Sys_VAR_ref_800,0.02,0.94,0.035
Sys_VAR_ref_800,0.02,0.96,0.03375
Sys_VAR_ref_800,0.02,0.98,0.01625
Sys_VAR_ref_800,0.02,1.0,0.00375
Sys_VAR_ref_800,0.04,0.0,0.985
Sys_VAR_ref_800,0.04,0.02,0.985
Sys_VAR_ref_800,0.04,0.04,0.985
Sys_VAR_ref_800,0.04,0.06,0.985
Sys_VAR_ref_800,0.04,0.08,0.985
Sys_VAR_ref_800,0.04,0.1,0.985
Sys_VAR_ref_800,0.04,0.12,0.985
Sys_VAR_ref_800,0.04,0.14,0.98375
Sys_VAR_ref_800,0.04,0.16,0.98125
Sys_VAR_ref_800,0.04,0.18,0.98
Sys_VAR_ref_800,0.04,0.2,0.9775
Sys_VAR_ref_800,0.04,0.22,0.97
Sys_VAR_ref_800,0.04,0.24,0.9675
Sys_VAR_ref_800,0.04,0.26,0.9525
Sys_VAR_ref_800,0.04,0.28,0.9425
Sys_VAR_ref_800,0.04,0.3,0.9225
Sys_VAR_ref_800,0.04,0.32,0.8025
Sys_VAR_ref_800,0.04,0.34,0.78625
Sys_VAR_ref_800,0.04,0.36,0.76875
Sys_VAR_ref_800,0.04,0.38,0.75125
Sys_VAR_ref_800,0.04,0.4,0.7225
Sys_VAR_ref_800,0.04,0.42,0.69625
Sys_VAR_ref_800,0.04,0.44,0.6775
Sys_VAR_ref_800,0.04,0.46,0.64875
Sys_VAR_ref_800,0.04,0.48,0.6175
Sys_VAR_ref_800,0.04,0.5,0.60375
Sys_VAR_ref_800,0.04,0.52,0.57875
Sys_VAR_ref_800,0.04,0.54,0.545
Sys_VAR_ref_800,0.04,0.56,0.52375
Sys_VAR_ref_800,0.04,0.58,0.48625
Sys_VAR_ref_800,0.04,0.6,0.46125
Sys_VAR_ref_800,0.04,0.62,0.4225
Sys_VAR_ref_800,0.04,0.64,0.3775
Sys_VAR_ref_800,0.04,0.66,0.35875
Sys_VAR_ref_800,0.04,0.68,0.325
Sys_VAR_ref_800,0.04,0.7,0.2875
Sys_VAR_ref_800,0.04,0.72,0.2625
