score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_VAR_noref,3.7537,3.9191,-0.1655,-0.2117,31.8,68.2,0.7542,0.6864,0.7399,0.7459
authenticity_score,Sys_VAR_noref,2.9215,3.0453,-0.1239,-0.1267,39.0,60.8,0.8073,0.7915,0.8016,0.8072
