score_type,source,n,mean,median,std,min,max,pct_<=1,pct_1-2,pct_2-3,pct_3-4,pct_4-5,skewness,kurtosis
alignment_score,Human (3人平均),500,3.9191,4.38,1.3493,0.0,5.0,6.0,5.4,7.4,18.4,62.8,-1.5052,1.4875
alignment_score,Sys_VAR_noref (3次平均),500,3.7537,4.14,1.1622,0.0167,4.9933,4.0,6.6,10.2,22.8,56.4,-1.3568,1.1676
artifact_score,Human (3人平均),500,3.0453,3.0,1.0151,0.6667,5.0,4.6,18.4,30.2,36.2,10.6,-0.1178,-0.7064
artifact_score,Sys_VAR_noref (3次平均),500,2.9215,2.9317,1.0259,0.3667,4.9933,2.6,18.0,32.4,31.8,15.2,-0.0079,-0.6614
