group,alignment_threshold,authenticity_threshold,probability
Sys_DiT_ref_randcls_100_3,0.0,0.0,1.0
Sys_DiT_ref_randcls_100_3,0.0,0.02,0.998
Sys_DiT_ref_randcls_100_3,0.0,0.04,0.996
Sys_DiT_ref_randcls_100_3,0.0,0.06,0.996
Sys_DiT_ref_randcls_100_3,0.0,0.08,0.996
Sys_DiT_ref_randcls_100_3,0.0,0.1,0.996
Sys_DiT_ref_randcls_100_3,0.0,0.12,0.996
Sys_DiT_ref_randcls_100_3,0.0,0.14,0.996
Sys_DiT_ref_randcls_100_3,0.0,0.16,0.996
Sys_DiT_ref_randcls_100_3,0.0,0.18,0.9819999999999998
Sys_DiT_ref_randcls_100_3,0.0,0.2,0.9759999999999996
Sys_DiT_ref_randcls_100_3,0.0,0.22,0.9759999999999996
Sys_DiT_ref_randcls_100_3,0.0,0.24,0.9739999999999996
Sys_DiT_ref_randcls_100_3,0.0,0.26,0.9379999999999993
Sys_DiT_ref_randcls_100_3,0.0,0.28,0.9359999999999993
Sys_DiT_ref_randcls_100_3,0.0,0.3,0.9239999999999994
Sys_DiT_ref_randcls_100_3,0.0,0.32,0.7619999999999998
Sys_DiT_ref_randcls_100_3,0.0,0.34,0.7479999999999997
Sys_DiT_ref_randcls_100_3,0.0,0.36,0.7459999999999997
Sys_DiT_ref_randcls_100_3,0.0,0.38,0.6959999999999998
Sys_DiT_ref_randcls_100_3,0.0,0.4,0.6779999999999998
Sys_DiT_ref_randcls_100_3,0.0,0.42,0.6379999999999998
Sys_DiT_ref_randcls_100_3,0.0,0.44,0.5800000000000001
Sys_DiT_ref_randcls_100_3,0.0,0.46,0.5800000000000001
Sys_DiT_ref_randcls_100_3,0.0,0.48,0.5760000000000001
Sys_DiT_ref_randcls_100_3,0.0,0.5,0.556
Sys_DiT_ref_randcls_100_3,0.0,0.52,0.556
Sys_DiT_ref_randcls_100_3,0.0,0.54,0.534
Sys_DiT_ref_randcls_100_3,0.0,0.56,0.524
Sys_DiT_ref_randcls_100_3,0.0,0.58,0.4279999999999998
Sys_DiT_ref_randcls_100_3,0.0,0.6,0.4259999999999999
Sys_DiT_ref_randcls_100_3,0.0,0.62,0.40199999999999975
Sys_DiT_ref_randcls_100_3,0.0,0.64,0.39599999999999974
Sys_DiT_ref_randcls_100_3,0.0,0.66,0.3859999999999997
Sys_DiT_ref_randcls_100_3,0.0,0.68,0.3859999999999997
Sys_DiT_ref_randcls_100_3,0.0,0.7,0.37199999999999966
Sys_DiT_ref_randcls_100_3,0.0,0.72,0.37199999999999966
Sys_DiT_ref_randcls_100_3,0.0,0.74,0.27599999999999997
Sys_DiT_ref_randcls_100_3,0.0,0.76,0.25399999999999995
Sys_DiT_ref_randcls_100_3,0.0,0.78,0.118
Sys_DiT_ref_randcls_100_3,0.0,0.8,0.10399999999999997
Sys_DiT_ref_randcls_100_3,0.0,0.82,0.10399999999999997
Sys_DiT_ref_randcls_100_3,0.0,0.84,0.094
Sys_DiT_ref_randcls_100_3,0.0,0.86,0.084
Sys_DiT_ref_randcls_100_3,0.0,0.88,0.084
Sys_DiT_ref_randcls_100_3,0.0,0.9,0.084
Sys_DiT_ref_randcls_100_3,0.0,0.92,0.07800000000000003
Sys_DiT_ref_randcls_100_3,0.0,0.94,0.07400000000000002
Sys_DiT_ref_randcls_100_3,0.0,0.96,0.06600000000000002
Sys_DiT_ref_randcls_100_3,0.0,0.98,0.05000000000000002
Sys_DiT_ref_randcls_100_3,0.0,1.0,0.01
Sys_DiT_ref_randcls_100_3,0.02,0.0,0.976
Sys_DiT_ref_randcls_100_3,0.02,0.02,0.976
Sys_DiT_ref_randcls_100_3,0.02,0.04,0.9739999999999999
Sys_DiT_ref_randcls_100_3,0.02,0.06,0.9739999999999999
Sys_DiT_ref_randcls_100_3,0.02,0.08,0.9739999999999999
Sys_DiT_ref_randcls_100_3,0.02,0.1,0.9739999999999999
Sys_DiT_ref_randcls_100_3,0.02,0.12,0.9739999999999999
Sys_DiT_ref_randcls_100_3,0.02,0.14,0.9739999999999999
Sys_DiT_ref_randcls_100_3,0.02,0.16,0.9739999999999999
Sys_DiT_ref_randcls_100_3,0.02,0.18,0.9619999999999997
Sys_DiT_ref_randcls_100_3,0.02,0.2,0.9559999999999996
Sys_DiT_ref_randcls_100_3,0.02,0.22,0.9559999999999996
Sys_DiT_ref_randcls_100_3,0.02,0.24,0.9539999999999995
Sys_DiT_ref_randcls_100_3,0.02,0.26,0.9199999999999993
Sys_DiT_ref_randcls_100_3,0.02,0.28,0.9179999999999994
Sys_DiT_ref_randcls_100_3,0.02,0.3,0.9059999999999994
Sys_DiT_ref_randcls_100_3,0.02,0.32,0.7459999999999997
Sys_DiT_ref_randcls_100_3,0.02,0.34,0.7319999999999998
Sys_DiT_ref_randcls_100_3,0.02,0.36,0.7299999999999998
Sys_DiT_ref_randcls_100_3,0.02,0.38,0.6839999999999997
Sys_DiT_ref_randcls_100_3,0.02,0.4,0.6659999999999999
Sys_DiT_ref_randcls_100_3,0.02,0.42,0.6279999999999999
Sys_DiT_ref_randcls_100_3,0.02,0.44,0.5700000000000001
Sys_DiT_ref_randcls_100_3,0.02,0.46,0.5700000000000001
Sys_DiT_ref_randcls_100_3,0.02,0.48,0.5660000000000001
Sys_DiT_ref_randcls_100_3,0.02,0.5,0.5460000000000002
Sys_DiT_ref_randcls_100_3,0.02,0.52,0.5460000000000002
Sys_DiT_ref_randcls_100_3,0.02,0.54,0.5240000000000001
Sys_DiT_ref_randcls_100_3,0.02,0.56,0.5140000000000001
Sys_DiT_ref_randcls_100_3,0.02,0.58,0.4199999999999999
Sys_DiT_ref_randcls_100_3,0.02,0.6,0.4179999999999999
Sys_DiT_ref_randcls_100_3,0.02,0.62,0.39799999999999974
Sys_DiT_ref_randcls_100_3,0.02,0.64,0.39199999999999974
Sys_DiT_ref_randcls_100_3,0.02,0.66,0.3819999999999997
Sys_DiT_ref_randcls_100_3,0.02,0.68,0.3819999999999997
Sys_DiT_ref_randcls_100_3,0.02,0.7,0.36799999999999966
Sys_DiT_ref_randcls_100_3,0.02,0.72,0.36799999999999966
Sys_DiT_ref_randcls_100_3,0.02,0.74,0.2719999999999999
Sys_DiT_ref_randcls_100_3,0.02,0.76,0.2499999999999999
Sys_DiT_ref_randcls_100_3,0.02,0.78,0.11399999999999999
Sys_DiT_ref_randcls_100_3,0.02,0.8,0.09999999999999998
Sys_DiT_ref_randcls_100_3,0.02,0.82,0.09999999999999998
