score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_DiT_ref_randcls_100_3,3.7382,3.8685,-0.3398,-0.18,29.33,70.67,0.0441,0.0703,0.0421,0.0432
authenticity_score,Sys_DiT_ref_randcls_100_3,2.7774,3.0767,-0.3537,-0.15,45.33,52.0,0.0774,0.0931,0.0743,0.077
