source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_DiT_noexpert_3,645,0.97,0.72,0.7,0.81,0.45,0.74,0.32,0.52,0.37,0.6
Sys_DiT_noexpert_3,654,0.95,0.77,0.74,0.84,1.0,0.83,0.75,0.62,0.85,0.7
Sys_DiT_noexpert_3,679,0.87,0.73,0.64,0.79,0.57,0.68,0.37,0.44,0.45,0.53
Sys_DiT_noexpert_3,687,0.93,0.91,0.85,0.92,0.29,0.67,0.24,0.57,0.26,0.61
Sys_DiT_noexpert_3,730,0.84,0.66,0.57,0.74,1.31,0.98,0.75,0.56,0.97,0.72
Sys_DiT_noexpert_3,743,0.61,0.8,0.52,0.67,1.05,0.79,0.55,0.41,0.7,0.53
Sys_DiT_noexpert_3,746,0.62,0.74,0.49,0.63,0.55,1.05,0.27,0.51,0.35,0.67
Sys_DiT_noexpert_3,755,0.87,0.85,0.8,0.86,0.22,0.9,0.18,0.72,0.19,0.78
Sys_DiT_noexpert_3,756,0.82,0.79,0.66,0.8,1.59,0.54,1.04,0.35,1.27,0.43
Sys_DiT_noexpert_3,806,0.98,1.0,0.98,0.99,0.95,0.93,0.93,0.91,0.94,0.92
Sys_DiT_noexpert_3,810,0.79,0.85,0.68,0.81,0.36,0.87,0.24,0.59,0.29,0.71
Sys_DiT_noexpert_3,819,0.7,0.64,0.44,0.64,0.4,0.77,0.18,0.34,0.26,0.5
Sys_DiT_noexpert_3,836,0.06,0.49,0.02,0.09,0.83,0.55,0.02,0.01,0.07,0.05
Sys_DiT_noexpert_3,903,0.77,0.58,0.48,0.64,1.01,0.69,0.49,0.33,0.65,0.44
Sys_DiT_noexpert_3,917,0.81,0.67,0.57,0.72,0.72,0.59,0.4,0.33,0.52,0.42
Sys_DiT_noexpert_3,919,0.46,0.26,0.12,0.33,1.4,0.78,0.17,0.09,0.46,0.26
