group,alignment_threshold,authenticity_threshold,probability
Sys_DiT_noexpert,0.02,0.86,0.35600000000000004
Sys_DiT_noexpert,0.02,0.88,0.3339999999999999
Sys_DiT_noexpert,0.02,0.9,0.3099999999999999
Sys_DiT_noexpert,0.02,0.92,0.2759999999999999
Sys_DiT_noexpert,0.02,0.94,0.242
Sys_DiT_noexpert,0.02,0.96,0.22599999999999995
Sys_DiT_noexpert,0.02,0.98,0.19799999999999993
Sys_DiT_noexpert,0.02,1.0,0.18799999999999994
Sys_DiT_noexpert,0.04,0.0,0.9899999999999999
Sys_DiT_noexpert,0.04,0.02,0.9899999999999999
Sys_DiT_noexpert,0.04,0.04,0.9899999999999999
Sys_DiT_noexpert,0.04,0.06,0.9899999999999999
Sys_DiT_noexpert,0.04,0.08,0.9899999999999999
Sys_DiT_noexpert,0.04,0.1,0.9879999999999999
Sys_DiT_noexpert,0.04,0.12,0.9879999999999999
Sys_DiT_noexpert,0.04,0.14,0.9879999999999999
Sys_DiT_noexpert,0.04,0.16,0.9859999999999998
Sys_DiT_noexpert,0.04,0.18,0.9839999999999998
Sys_DiT_noexpert,0.04,0.2,0.9839999999999998
Sys_DiT_noexpert,0.04,0.22,0.9819999999999998
Sys_DiT_noexpert,0.04,0.24,0.9819999999999998
Sys_DiT_noexpert,0.04,0.26,0.9719999999999999
Sys_DiT_noexpert,0.04,0.28,0.9579999999999997
Sys_DiT_noexpert,0.04,0.3,0.9499999999999996
Sys_DiT_noexpert,0.04,0.32,0.9459999999999996
Sys_DiT_noexpert,0.04,0.34,0.9299999999999996
Sys_DiT_noexpert,0.04,0.36,0.9239999999999995
Sys_DiT_noexpert,0.04,0.38,0.9079999999999994
Sys_DiT_noexpert,0.04,0.4,0.8979999999999996
Sys_DiT_noexpert,0.04,0.42,0.8859999999999996
Sys_DiT_noexpert,0.04,0.44,0.8619999999999994
Sys_DiT_noexpert,0.04,0.46,0.8559999999999995
Sys_DiT_noexpert,0.04,0.48,0.8399999999999997
Sys_DiT_noexpert,0.04,0.5,0.8339999999999996
Sys_DiT_noexpert,0.04,0.52,0.8159999999999995
Sys_DiT_noexpert,0.04,0.54,0.7979999999999996
Sys_DiT_noexpert,0.04,0.56,0.7899999999999996
Sys_DiT_noexpert,0.04,0.58,0.7739999999999996
Sys_DiT_noexpert,0.04,0.6,0.7639999999999995
Sys_DiT_noexpert,0.04,0.62,0.7479999999999997
Sys_DiT_noexpert,0.04,0.64,0.7299999999999999
Sys_DiT_noexpert,0.04,0.66,0.7159999999999997
Sys_DiT_noexpert,0.04,0.68,0.7039999999999997
Sys_DiT_noexpert,0.04,0.7,0.6899999999999998
Sys_DiT_noexpert,0.04,0.72,0.6560000000000002
Sys_DiT_noexpert,0.04,0.74,0.6220000000000002
Sys_DiT_noexpert,0.04,0.76,0.5960000000000001
Sys_DiT_noexpert,0.04,0.78,0.5100000000000002
Sys_DiT_noexpert,0.04,0.8,0.4700000000000001
Sys_DiT_noexpert,0.04,0.82,0.43
Sys_DiT_noexpert,0.04,0.84,0.3919999999999999
Sys_DiT_noexpert,0.04,0.86,0.35600000000000004
Sys_DiT_noexpert,0.04,0.88,0.3339999999999999
Sys_DiT_noexpert,0.04,0.9,0.3099999999999999
Sys_DiT_noexpert,0.04,0.92,0.2759999999999999
Sys_DiT_noexpert,0.04,0.94,0.242
Sys_DiT_noexpert,0.04,0.96,0.22599999999999995
Sys_DiT_noexpert,0.04,0.98,0.19799999999999993
