score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_DiT_noexpert,3.9866,3.8685,0.1181,0.0,38.8,48.8,0.7252,0.6722,0.7136,0.716
authenticity_score,Sys_DiT_noexpert,3.7623,3.0767,0.6856,0.6367,80.6,14.6,0.7323,0.7227,0.6128,0.7323
