,N,Human_mean,AI_mean,Bias(AI-Human),Pearson_r,Pearson_p,Spearman_r,Spearman_p,CCC,"ICC(2,1)",MAE,RMSE
alignment,997,3.3706,3.7652,0.3946,0.4528,1.50e-51,0.4153,7.68e-43,0.6288,0.4292,0.959,1.3452
artifact,997,3.8458,2.6646,-1.1812,0.3178,7.90e-25,0.3162,1.40e-24,0.2155,0.1176,1.4148,1.7045
