score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_DiT_ref_randcls_100_2,3.6185,3.8685,-0.0968,-0.7233,32.5,67.5,-0.1146,0.037,-0.107,-0.1044
authenticity_score,Sys_DiT_ref_randcls_100_2,2.6593,3.0767,0.1021,0.1583,55.0,45.0,-0.0376,-0.0283,-0.0384,-0.0375
