score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_DiT_ref_cls100_2,User_DiT_1,40,-0.0648,0.691225,0.0774,0.634776,-0.0598,-0.0589
alignment_score,Sys_DiT_ref_cls100_2,User_DiT_2,40,-0.1138,0.484606,0.0708,0.664378,-0.0983,-0.0956
alignment_score,Sys_DiT_ref_cls100_2,User_DiT_3,40,-0.136,0.402633,0.0451,0.78248,-0.1236,-0.1208
alignment_score,User_DiT_1,User_DiT_2,500,0.7946,0.0,0.7987,0.0,0.7942,0.7943
alignment_score,User_DiT_1,User_DiT_3,500,0.8342,0.0,0.8129,0.0,0.8343,0.8341
alignment_score,User_DiT_2,User_DiT_3,500,0.8074,0.0,0.8114,0.0,0.8069,0.8068
authenticity_score,Sys_DiT_ref_cls100_2,User_DiT_1,40,-0.0449,0.783115,-0.0339,0.835264,-0.0455,-0.0446
authenticity_score,Sys_DiT_ref_cls100_2,User_DiT_2,40,0.0191,0.907054,0.0224,0.890715,0.0194,0.0191
authenticity_score,Sys_DiT_ref_cls100_2,User_DiT_3,40,-0.0752,0.644703,-0.078,0.632541,-0.077,-0.075
authenticity_score,User_DiT_1,User_DiT_2,500,0.7576,0.0,0.7471,0.0,0.7561,0.7572
authenticity_score,User_DiT_1,User_DiT_3,500,0.7706,0.0,0.7599,0.0,0.7705,0.7701
authenticity_score,User_DiT_2,User_DiT_3,500,0.7429,0.0,0.7323,0.0,0.7418,0.7429
