source,alignment_norm,authenticity_norm,composite_product,composite_harmonic,alignment_norm_std,alignment_norm_se,alignment_norm_ci_low,alignment_norm_ci_high,authenticity_norm_std,authenticity_norm_se,authenticity_norm_ci_low,authenticity_norm_ci_high,composite_product_std,composite_product_se,composite_product_ci_low,composite_product_ci_high,composite_harmonic_std,composite_harmonic_se,composite_harmonic_ci_low,composite_harmonic_ci_high
Sys_DiT_ref_cls100_2,0.7238,0.5319,0.421,0.5827,0.1717,0.0172,0.6897,0.7579,0.1593,0.0159,0.5003,0.5635,0.1794,0.0179,0.3854,0.4566,0.1573,0.0157,0.5515,0.6139
User_DiT_1,0.769,0.6204,0.5087,0.6409,0.2136,0.0214,0.7266,0.8114,0.1678,0.0168,0.5871,0.6537,0.2197,0.022,0.4651,0.5523,0.1979,0.0198,0.6016,0.6802
User_DiT_2,0.7798,0.6052,0.5039,0.6407,0.2164,0.0216,0.7369,0.8227,0.1554,0.0155,0.5744,0.636,0.2075,0.0208,0.4627,0.5451,0.1902,0.019,0.603,0.6784
User_DiT_3,0.7727,0.6204,0.5116,0.6432,0.2175,0.0218,0.7295,0.8159,0.1624,0.0162,0.5882,0.6526,0.2142,0.0214,0.4691,0.5541,0.1981,0.0198,0.6039,0.6825
Human_DiT_500_AVG_STATS,0.7738,0.6153,0.5081,0.6416,0.2158,0.0216,0.731,0.8167,0.1619,0.0162,0.5832,0.6474,0.2138,0.0214,0.4656,0.5505,0.1954,0.0195,0.6028,0.6804
Human_DiT_500_AVG_PERCLASS,0.7738,0.6153,0.5081,0.6416,0.2104,0.021,0.7321,0.8156,0.1565,0.0157,0.5843,0.6464,0.2089,0.0209,0.4666,0.5495,0.1905,0.0191,0.6038,0.6794
