对比对 (Comparison),Spearman ρ,Spearman p,Pearson r,Pearson p,Normalized RMSE
FID  vs  Human_composite_harmonic,0.5643,0.3217,0.6224,0.2622,0.3474
Sys_composite_harmonic  vs  Human_composite_harmonic,0.9,0.0374,0.9548,0.0115,0.1545
