score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_IMFfdloss_ref,3.8979,3.9777,-0.0798,-0.15,32.2,66.2,0.7629,0.6959,0.7577,0.7591
artifact_score,Sys_IMFfdloss_ref,2.9281,3.172,-0.2439,-0.1817,32.2,66.7,0.7967,0.7963,0.7745,0.7964
