source,class_id,alignment_norm,artifact_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
User_IMFfdloss_2,300,0.9,0.88,0.8,0.89,0.55,0.94,0.44,0.75,0.49,0.83
User_IMFfdloss_2,322,0.77,0.72,0.55,0.73,0.74,0.83,0.41,0.45,0.54,0.6
User_IMFfdloss_2,330,0.72,0.68,0.49,0.69,0.37,0.99,0.18,0.49,0.26,0.68
User_IMFfdloss_2,333,0.9,0.64,0.59,0.74,1.11,1.01,0.65,0.59,0.82,0.75
User_IMFfdloss_2,339,0.88,0.68,0.61,0.76,1.73,1.01,1.05,0.61,1.31,0.76
User_IMFfdloss_2,347,0.98,0.72,0.71,0.81,0.55,0.89,0.39,0.63,0.45,0.72
User_IMFfdloss_2,356,0.81,0.76,0.65,0.78,1.42,0.93,0.93,0.61,1.11,0.73
User_IMFfdloss_2,365,0.93,0.72,0.68,0.8,0.93,0.88,0.63,0.6,0.74,0.7
User_IMFfdloss_2,370,0.98,0.92,0.9,0.95,0.88,0.98,0.8,0.88,0.84,0.92
User_IMFfdloss_2,389,0.32,0.52,0.17,0.39,2.23,0.9,0.38,0.15,0.87,0.35
User_IMFfdloss_2,392,0.69,0.64,0.44,0.65,0.47,1.16,0.21,0.51,0.3,0.75
User_IMFfdloss_2,394,0.78,0.6,0.46,0.64,2.12,1.0,0.98,0.46,1.36,0.64
User_IMFfdloss_2,396,0.83,0.56,0.51,0.66,0.23,0.97,0.12,0.5,0.15,0.64
User_IMFfdloss_2,400,0.76,0.64,0.49,0.67,0.22,0.69,0.11,0.34,0.15,0.46
User_IMFfdloss_2,405,0.63,0.6,0.39,0.6,0.56,1.01,0.22,0.4,0.33,0.61
User_IMFfdloss_2,406,0.86,0.72,0.61,0.76,1.35,0.8,0.82,0.49,1.02,0.61
User_IMFfdloss_2,413,0.89,0.64,0.58,0.74,0.41,0.93,0.23,0.54,0.3,0.68
User_IMFfdloss_2,415,0.53,0.56,0.33,0.46,1.01,0.91,0.33,0.3,0.46,0.42
User_IMFfdloss_2,419,0.88,0.44,0.39,0.59,1.4,1.01,0.55,0.4,0.82,0.59
User_IMFfdloss_2,421,0.96,0.6,0.57,0.71,1.84,0.8,1.06,0.46,1.31,0.57
User_IMFfdloss_2,426,0.49,0.36,0.18,0.41,1.48,1.03,0.27,0.19,0.61,0.42
User_IMFfdloss_2,429,0.8,0.64,0.55,0.69,0.46,0.96,0.25,0.53,0.32,0.67
User_IMFfdloss_2,432,0.9,0.48,0.44,0.62,1.07,0.92,0.47,0.41,0.67,0.57
User_IMFfdloss_2,443,0.73,0.84,0.62,0.7,0.25,0.76,0.15,0.47,0.17,0.53
User_IMFfdloss_2,446,0.83,0.6,0.5,0.69,1.36,0.92,0.69,0.46,0.94,0.63
User_IMFfdloss_2,453,0.8,0.56,0.47,0.66,0.59,0.83,0.28,0.38,0.39,0.54
User_IMFfdloss_2,461,0.87,0.68,0.57,0.72,0.4,0.72,0.23,0.41,0.29,0.51
User_IMFfdloss_2,477,0.58,0.56,0.32,0.48,2.62,0.84,0.83,0.27,1.26,0.4
User_IMFfdloss_2,479,0.59,0.6,0.46,0.56,0.61,0.96,0.28,0.44,0.34,0.54
User_IMFfdloss_2,481,0.83,0.52,0.43,0.63,0.53,0.92,0.23,0.4,0.33,0.57
User_IMFfdloss_2,488,0.84,0.72,0.63,0.76,0.93,0.89,0.58,0.56,0.7,0.67
User_IMFfdloss_2,499,0.95,0.6,0.57,0.71,1.28,1.07,0.73,0.61,0.9,0.75
User_IMFfdloss_2,529,0.71,0.64,0.47,0.6,2.93,0.72,1.36,0.33,1.75,0.43
User_IMFfdloss_2,535,0.7,0.68,0.48,0.68,0.51,1.0,0.25,0.48,0.35,0.68
User_IMFfdloss_2,554,0.0,0.56,0.0,0.0,0.98,0.74,0.0,0.0,0.0,0.0
User_IMFfdloss_2,567,0.97,0.68,0.67,0.79,3.65,0.88,2.44,0.59,2.89,0.7
User_IMFfdloss_2,575,0.91,0.48,0.46,0.62,0.9,0.94,0.41,0.43,0.56,0.58
User_IMFfdloss_2,585,0.73,0.48,0.35,0.55,1.27,0.95,0.45,0.34,0.7,0.52
User_IMFfdloss_2,590,0.79,0.56,0.43,0.63,0.94,0.78,0.4,0.33,0.59,0.49
User_IMFfdloss_2,605,0.81,0.68,0.57,0.73,4.24,0.94,2.4,0.53,3.12,0.69
User_IMFfdloss_2,606,0.79,0.52,0.42,0.59,1.27,1.01,0.53,0.42,0.75,0.6
User_IMFfdloss_2,626,0.57,0.6,0.38,0.49,2.62,0.84,0.99,0.32,1.29,0.42
User_IMFfdloss_2,632,0.6,0.68,0.45,0.58,0.8,0.75,0.36,0.34,0.47,0.44
User_IMFfdloss_2,633,0.76,0.6,0.5,0.65,0.87,0.86,0.43,0.43,0.57,0.56
User_IMFfdloss_2,634,0.57,0.52,0.31,0.53,0.55,0.89,0.17,0.28,0.29,0.48
User_IMFfdloss_2,645,0.91,0.52,0.48,0.65,0.38,0.62,0.18,0.3,0.25,0.4
User_IMFfdloss_2,654,0.83,0.6,0.53,0.68,1.04,0.86,0.55,0.45,0.71,0.59
User_IMFfdloss_2,679,0.74,0.68,0.49,0.69,0.67,0.79,0.33,0.39,0.46,0.55
User_IMFfdloss_2,687,1.0,0.92,0.92,0.96,0.38,0.89,0.35,0.81,0.36,0.85
User_IMFfdloss_2,730,0.64,0.52,0.32,0.53,1.25,0.93,0.39,0.29,0.66,0.5
User_IMFfdloss_2,743,0.61,0.6,0.34,0.48,1.21,0.91,0.42,0.31,0.58,0.44
User_IMFfdloss_2,746,0.88,0.4,0.38,0.52,0.73,1.4,0.27,0.53,0.38,0.73
User_IMFfdloss_2,755,1.0,0.76,0.76,0.86,0.22,0.9,0.17,0.68,0.19,0.77
User_IMFfdloss_2,756,0.7,0.44,0.34,0.52,2.85,0.97,0.98,0.33,1.49,0.51
User_IMFfdloss_2,806,0.94,0.92,0.86,0.93,0.95,0.93,0.82,0.8,0.88,0.86
User_IMFfdloss_2,810,0.77,0.4,0.31,0.5,0.35,0.85,0.11,0.26,0.17,0.42
User_IMFfdloss_2,819,0.76,0.36,0.3,0.44,0.4,0.77,0.12,0.23,0.18,0.34
User_IMFfdloss_2,836,0.03,0.32,0.01,0.03,1.12,0.74,0.01,0.0,0.04,0.02
User_IMFfdloss_2,903,0.43,0.76,0.34,0.44,1.32,0.91,0.45,0.31,0.59,0.4
User_IMFfdloss_2,917,0.59,0.4,0.25,0.41,0.96,0.79,0.24,0.19,0.39,0.32
User_IMFfdloss_2,919,0.66,0.36,0.24,0.46,1.9,1.06,0.46,0.26,0.88,0.49
User_IMFfdloss_2,920,0.8,0.52,0.46,0.62,0.66,0.83,0.3,0.38,0.41,0.51
User_IMFfdloss_2,922,0.57,0.28,0.18,0.35,0.55,0.92,0.1,0.17,0.19,0.32
User_IMFfdloss_2,928,0.8,0.48,0.39,0.58,2.49,0.83,0.97,0.32,1.44,0.48
User_IMFfdloss_2,931,0.98,0.8,0.78,0.88,0.59,0.8,0.46,0.63,0.52,0.71
User_IMFfdloss_2,943,0.76,0.84,0.69,0.74,0.96,0.99,0.66,0.68,0.71,0.73
User_IMFfdloss_2,952,0.94,0.76,0.71,0.82,0.89,0.9,0.63,0.64,0.73,0.74
User_IMFfdloss_2,960,1.0,0.76,0.76,0.86,3.03,0.85,2.3,0.64,2.61,0.73
User_IMFfdloss_2,962,0.85,0.72,0.65,0.78,0.59,0.79,0.39,0.51,0.46,0.62
User_IMFfdloss_2,968,0.92,0.72,0.68,0.8,1.74,0.79,1.18,0.53,1.39,0.63
User_IMFfdloss_2,971,1.0,0.76,0.76,0.85,0.47,1.03,0.36,0.78,0.4,0.88
User_IMFfdloss_2,972,0.93,0.6,0.56,0.68,1.97,0.81,1.1,0.45,1.33,0.55
User_IMFfdloss_2,981,0.66,0.4,0.26,0.43,0.6,0.88,0.16,0.23,0.26,0.38
User_IMFfdloss_2,982,0.71,0.52,0.41,0.58,1.1,0.85,0.45,0.34,0.64,0.49
User_IMFfdloss_2,983,0.85,0.4,0.36,0.52,0.5,0.93,0.18,0.34,0.26,0.48
User_IMFfdloss_2,985,0.72,0.88,0.68,0.76,2.11,0.92,1.44,0.62,1.61,0.7
User_IMFfdloss_2,991,0.91,0.76,0.69,0.81,0.59,0.92,0.41,0.63,0.48,0.75
User_IMFfdloss_2,999,0.84,0.6,0.54,0.68,0.96,0.75,0.52,0.4,0.65,0.51
User_IMFfdloss_3,4,1.0,0.72,0.72,0.83,1.11,0.99,0.8,0.71,0.92,0.82
User_IMFfdloss_3,7,0.84,0.6,0.51,0.68,0.52,0.77,0.27,0.39,0.36,0.52
User_IMFfdloss_3,10,0.78,0.88,0.68,0.82,0.96,1.04,0.66,0.71,0.79,0.85
User_IMFfdloss_3,25,0.83,0.72,0.59,0.75,1.11,0.83,0.66,0.49,0.84,0.63
User_IMFfdloss_3,35,0.88,0.6,0.54,0.71,1.04,0.86,0.57,0.47,0.74,0.61
User_IMFfdloss_3,39,0.92,0.72,0.68,0.78,0.8,0.94,0.54,0.63,0.63,0.74
User_IMFfdloss_3,49,1.0,0.6,0.6,0.72,0.97,0.96,0.58,0.58,0.7,0.7
User_IMFfdloss_3,51,0.93,0.72,0.69,0.79,0.85,0.93,0.59,0.64,0.67,0.73
User_IMFfdloss_3,52,0.85,0.84,0.73,0.82,2.32,0.98,1.68,0.71,1.91,0.81
User_IMFfdloss_3,64,0.73,0.76,0.56,0.72,1.27,1.01,0.71,0.57,0.92,0.73
User_IMFfdloss_3,80,0.77,0.56,0.42,0.62,0.39,0.64,0.16,0.27,0.24,0.4
User_IMFfdloss_3,97,0.84,0.72,0.6,0.73,1.29,0.76,0.77,0.46,0.94,0.56
User_IMFfdloss_3,106,1.0,0.8,0.8,0.88,2.69,0.82,2.15,0.65,2.36,0.72
User_IMFfdloss_3,116,0.94,0.76,0.73,0.81,0.42,0.7,0.3,0.51,0.34,0.56
User_IMFfdloss_3,118,0.98,0.64,0.62,0.76,1.17,0.85,0.73,0.53,0.89,0.65
User_IMFfdloss_3,129,0.82,0.56,0.46,0.66,0.77,1.18,0.35,0.55,0.5,0.77
User_IMFfdloss_3,144,0.92,0.6,0.57,0.7,1.03,0.92,0.58,0.52,0.72,0.65
User_IMFfdloss_3,147,1.0,0.8,0.8,0.86,1.14,1.03,0.92,0.82,0.99,0.89
User_IMFfdloss_3,150,0.71,0.56,0.4,0.61,1.66,1.13,0.66,0.45,1.02,0.69
