group,score_type,n_common_images,mean_score,std_across_runs (avg per-image std),cv_across_runs (avg per-image CV),icc_2_1 (absolute agreement),icc_3_1 (consistency),avg_pairwise_pearson_r
Sys_VAR_ref,alignment_score,997,3.8247,0.3662,0.1495,0.8118,0.8117,0.8117
Sys_VAR_ref,artifact_score,997,2.8175,0.438,0.1614,0.7216,0.7224,0.7224
Human_VAR,alignment_score,998,3.9321,0.3062,0.1267,0.81,0.8103,0.8103
Human_VAR,artifact_score,998,3.0494,0.3929,0.1463,0.7445,0.745,0.7449
