score_type,source,n,mean,median,std,min,max,pct_<=1,pct_1-2,pct_2-3,pct_3-4,pct_4-5,skewness,kurtosis
alignment_score,Human (3人平均),500,4.053,4.445,1.2196,0.0,5.0,4.0,4.0,8.6,19.0,64.4,-1.5454,1.9443
alignment_score,Sys_RAEv2_ref_500 (3次平均),500,3.8862,4.35,1.2804,0.0,5.0,5.4,6.8,9.8,15.2,62.8,-1.4776,1.3185
authenticity_score,Human (3人平均),500,3.1953,3.3333,0.9907,0.3333,5.0,1.8,18.2,27.4,39.6,13.0,-0.2084,-0.7299
authenticity_score,Sys_RAEv2_ref_500 (3次平均),500,3.048,3.2,1.1759,0.85,5.0,0.8,27.8,19.6,34.0,17.8,-0.0108,-1.168
