score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_RAEv2_ref_500,3.8862,4.053,-0.3989,-0.18,28.0,69.6,0.1473,0.1645,0.1356,0.1438
authenticity_score,Sys_RAEv2_ref_500,3.048,3.1953,-0.394,-0.4833,36.0,63.6,0.0788,0.0865,0.0711,0.0758
