score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_DiT_ref_cls_1k,3.797,3.8685,0.0747,-0.15,40.8,58.8,0.0182,0.0522,0.0173,0.0173
authenticity_score,Sys_DiT_ref_cls_1k,2.7977,3.0767,0.0907,0.16,52.8,46.4,0.0521,0.0406,0.052,0.052
