score_type,source,n,mean,median,std,min,max,pct_<=1,pct_1-2,pct_2-3,pct_3-4,pct_4-5,skewness,kurtosis
alignment_score,Human (3人平均),500,3.8685,4.4,1.4356,0.0,5.0,7.2,5.8,8.6,15.8,62.6,-1.3583,0.8019
alignment_score,Sys_DiT_ref_cls_1k (3次平均),4998,3.797,4.15,1.2916,0.0,5.0,5.3,8.6,10.18,15.71,60.2,-1.3451,0.9334
authenticity_score,Human (3人平均),500,3.0767,3.0,1.1006,0.3333,5.0,6.8,17.4,26.8,33.2,15.8,-0.1916,-0.7848
authenticity_score,Sys_DiT_ref_cls_1k (3次平均),4998,2.7977,2.85,1.1422,0.0,5.0,2.34,31.85,25.23,28.49,12.08,0.1479,-1.007
