source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean
Sys_DiT_ref_class1000,248,0.76,0.41,0.33,0.52
Sys_DiT_ref_class1000,249,0.91,0.46,0.43,0.6
Sys_DiT_ref_class1000,250,0.94,0.4,0.38,0.55
Sys_DiT_ref_class1000,251,0.92,0.36,0.33,0.51
Sys_DiT_ref_class1000,252,0.76,0.49,0.42,0.58
Sys_DiT_ref_class1000,253,0.7,0.35,0.25,0.45
Sys_DiT_ref_class1000,254,0.91,0.3,0.27,0.45
Sys_DiT_ref_class1000,255,0.9,0.41,0.38,0.55
Sys_DiT_ref_class1000,256,0.94,0.35,0.33,0.5
Sys_DiT_ref_class1000,257,0.83,0.45,0.39,0.57
Sys_DiT_ref_class1000,258,0.87,0.48,0.41,0.6
Sys_DiT_ref_class1000,259,0.78,0.45,0.37,0.55
Sys_DiT_ref_class1000,260,0.94,0.49,0.47,0.61
Sys_DiT_ref_class1000,261,0.78,0.45,0.37,0.56
Sys_DiT_ref_class1000,262,0.77,0.35,0.28,0.48
Sys_DiT_ref_class1000,263,0.54,0.32,0.23,0.36
Sys_DiT_ref_class1000,264,0.2,0.5,0.12,0.15
Sys_DiT_ref_class1000,265,0.72,0.45,0.33,0.53
Sys_DiT_ref_class1000,266,0.69,0.46,0.35,0.55
Sys_DiT_ref_class1000,267,0.9,0.47,0.44,0.59
Sys_DiT_ref_class1000,268,0.82,0.44,0.37,0.56
Sys_DiT_ref_class1000,269,0.92,0.41,0.38,0.55
Sys_DiT_ref_class1000,270,0.65,0.5,0.32,0.54
Sys_DiT_ref_class1000,271,0.45,0.6,0.26,0.48
Sys_DiT_ref_class1000,272,0.8,0.7,0.62,0.74
Sys_DiT_ref_class1000,273,0.94,0.68,0.64,0.78
Sys_DiT_ref_class1000,274,0.75,0.42,0.31,0.52
Sys_DiT_ref_class1000,275,0.95,0.53,0.51,0.66
Sys_DiT_ref_class1000,276,0.92,0.62,0.59,0.73
Sys_DiT_ref_class1000,277,0.76,0.37,0.3,0.48
Sys_DiT_ref_class1000,278,0.54,0.51,0.32,0.49
Sys_DiT_ref_class1000,279,0.74,0.39,0.3,0.5
Sys_DiT_ref_class1000,280,0.75,0.51,0.39,0.56
Sys_DiT_ref_class1000,281,0.92,0.3,0.28,0.45
Sys_DiT_ref_class1000,282,0.5,0.4,0.25,0.39
Sys_DiT_ref_class1000,283,0.87,0.53,0.46,0.63
Sys_DiT_ref_class1000,284,0.7,0.3,0.21,0.41
Sys_DiT_ref_class1000,285,0.54,0.36,0.2,0.42
Sys_DiT_ref_class1000,286,0.8,0.41,0.33,0.53
Sys_DiT_ref_class1000,287,0.81,0.51,0.42,0.61
Sys_DiT_ref_class1000,288,0.7,0.39,0.27,0.48
Sys_DiT_ref_class1000,289,0.9,0.44,0.4,0.55
Sys_DiT_ref_class1000,290,0.76,0.34,0.27,0.46
Sys_DiT_ref_class1000,291,0.85,0.56,0.48,0.67
Sys_DiT_ref_class1000,292,0.74,0.32,0.25,0.44
Sys_DiT_ref_class1000,293,0.77,0.6,0.47,0.62
Sys_DiT_ref_class1000,294,0.91,0.62,0.58,0.71
Sys_DiT_ref_class1000,295,0.74,0.42,0.39,0.52
Sys_DiT_ref_class1000,296,0.92,0.62,0.57,0.73
Sys_DiT_ref_class1000,297,0.87,0.64,0.57,0.71
Sys_DiT_ref_class1000,298,0.66,0.5,0.4,0.54
Sys_DiT_ref_class1000,299,0.92,0.58,0.54,0.68
Sys_DiT_ref_class1000,300,0.91,0.83,0.78,0.86
Sys_DiT_ref_class1000,301,0.77,0.65,0.57,0.7
Sys_DiT_ref_class1000,302,0.98,0.88,0.86,0.92
Sys_DiT_ref_class1000,303,0.86,0.7,0.62,0.77
Sys_DiT_ref_class1000,304,0.76,0.66,0.54,0.7
Sys_DiT_ref_class1000,305,0.74,0.63,0.5,0.67
Sys_DiT_ref_class1000,306,0.96,0.82,0.79,0.88
Sys_DiT_ref_class1000,307,0.97,0.85,0.82,0.9
Sys_DiT_ref_class1000,308,0.95,0.8,0.77,0.86
Sys_DiT_ref_class1000,309,0.82,0.69,0.58,0.75
Sys_DiT_ref_class1000,310,0.65,0.61,0.45,0.62
Sys_DiT_ref_class1000,311,0.8,0.79,0.66,0.79
Sys_DiT_ref_class1000,312,0.82,0.64,0.55,0.72
Sys_DiT_ref_class1000,313,0.83,0.69,0.61,0.75
Sys_DiT_ref_class1000,314,0.9,0.63,0.57,0.73
Sys_DiT_ref_class1000,315,0.88,0.66,0.59,0.75
Sys_DiT_ref_class1000,316,0.79,0.79,0.71,0.79
Sys_DiT_ref_class1000,317,0.94,0.85,0.8,0.89
Sys_DiT_ref_class1000,318,0.96,0.79,0.76,0.85
Sys_DiT_ref_class1000,319,0.83,0.81,0.69,0.8
Sys_DiT_ref_class1000,320,0.86,0.82,0.77,0.84
Sys_DiT_ref_class1000,321,0.94,0.89,0.85,0.92
Sys_DiT_ref_class1000,322,0.97,0.87,0.85,0.92
Sys_DiT_ref_class1000,323,0.98,0.97,0.96,0.98
Sys_DiT_ref_class1000,324,0.75,0.69,0.52,0.71
Sys_DiT_ref_class1000,325,0.96,0.88,0.85,0.92
Sys_DiT_ref_class1000,326,0.8,0.67,0.56,0.73
Sys_DiT_ref_class1000,327,0.9,0.82,0.77,0.86
Sys_DiT_ref_class1000,328,0.88,0.68,0.6,0.76
Sys_DiT_ref_class1000,329,0.79,0.65,0.52,0.7
Sys_DiT_ref_class1000,330,0.81,0.6,0.49,0.68
Sys_DiT_ref_class1000,331,0.94,0.72,0.68,0.81
Sys_DiT_ref_class1000,332,0.85,0.42,0.36,0.55
Sys_DiT_ref_class1000,333,0.71,0.37,0.27,0.46
Sys_DiT_ref_class1000,334,0.84,0.51,0.44,0.61
Sys_DiT_ref_class1000,335,0.76,0.43,0.33,0.54
Sys_DiT_ref_class1000,336,0.8,0.66,0.57,0.72
Sys_DiT_ref_class1000,337,0.8,0.66,0.54,0.7
Sys_DiT_ref_class1000,338,0.89,0.67,0.63,0.73
Sys_DiT_ref_class1000,339,0.89,0.69,0.64,0.77
Sys_DiT_ref_class1000,340,0.96,0.59,0.57,0.7
Sys_DiT_ref_class1000,341,0.9,0.63,0.57,0.73
Sys_DiT_ref_class1000,342,0.89,0.61,0.56,0.72
Sys_DiT_ref_class1000,343,0.81,0.64,0.57,0.7
Sys_DiT_ref_class1000,344,0.9,0.78,0.71,0.83
Sys_DiT_ref_class1000,345,0.76,0.53,0.43,0.61
Sys_DiT_ref_class1000,346,0.85,0.55,0.49,0.65
Sys_DiT_ref_class1000,347,0.85,0.67,0.59,0.74
Sys_DiT_ref_class1000,348,0.78,0.55,0.47,0.62
Sys_DiT_ref_class1000,349,0.74,0.54,0.4,0.6
Sys_DiT_ref_class1000,350,0.89,0.49,0.43,0.61
Sys_DiT_ref_class1000,351,0.88,0.73,0.65,0.78
Sys_DiT_ref_class1000,352,0.86,0.48,0.41,0.6
Sys_DiT_ref_class1000,353,0.78,0.54,0.48,0.63
Sys_DiT_ref_class1000,354,0.93,0.78,0.73,0.84
Sys_DiT_ref_class1000,355,0.8,0.57,0.45,0.63
Sys_DiT_ref_class1000,356,0.81,0.38,0.32,0.51
Sys_DiT_ref_class1000,357,0.79,0.56,0.46,0.64
Sys_DiT_ref_class1000,358,0.86,0.51,0.46,0.62
Sys_DiT_ref_class1000,359,0.64,0.3,0.19,0.4
Sys_DiT_ref_class1000,360,0.69,0.58,0.47,0.61
Sys_DiT_ref_class1000,361,0.93,0.48,0.45,0.61
Sys_DiT_ref_class1000,362,0.86,0.42,0.36,0.56
Sys_DiT_ref_class1000,363,0.93,0.66,0.62,0.75
Sys_DiT_ref_class1000,364,0.85,0.36,0.31,0.5
Sys_DiT_ref_class1000,365,0.92,0.61,0.57,0.72
Sys_DiT_ref_class1000,366,0.92,0.72,0.68,0.79
Sys_DiT_ref_class1000,367,0.88,0.58,0.52,0.67
Sys_DiT_ref_class1000,368,0.67,0.38,0.27,0.43
Sys_DiT_ref_class1000,369,0.85,0.43,0.36,0.56
Sys_DiT_ref_class1000,370,0.9,0.41,0.36,0.55
Sys_DiT_ref_class1000,371,0.95,0.43,0.41,0.58
Sys_DiT_ref_class1000,372,0.85,0.59,0.52,0.69
Sys_DiT_ref_class1000,373,0.78,0.58,0.45,0.63
Sys_DiT_ref_class1000,374,0.85,0.42,0.37,0.55
Sys_DiT_ref_class1000,375,0.82,0.6,0.52,0.69
Sys_DiT_ref_class1000,376,0.86,0.51,0.44,0.62
Sys_DiT_ref_class1000,377,0.76,0.52,0.41,0.62
Sys_DiT_ref_class1000,378,0.95,0.53,0.51,0.65
Sys_DiT_ref_class1000,379,0.58,0.39,0.25,0.46
Sys_DiT_ref_class1000,380,0.82,0.35,0.29,0.48
Sys_DiT_ref_class1000,381,0.85,0.42,0.36,0.55
Sys_DiT_ref_class1000,382,0.88,0.58,0.51,0.68
Sys_DiT_ref_class1000,383,0.89,0.54,0.5,0.65
Sys_DiT_ref_class1000,384,0.89,0.39,0.35,0.53
Sys_DiT_ref_class1000,385,0.85,0.45,0.38,0.58
Sys_DiT_ref_class1000,386,0.87,0.72,0.64,0.79
Sys_DiT_ref_class1000,387,0.94,0.61,0.58,0.71
Sys_DiT_ref_class1000,388,0.96,0.44,0.43,0.56
Sys_DiT_ref_class1000,389,0.4,0.52,0.2,0.42
Sys_DiT_ref_class1000,390,0.73,0.58,0.46,0.65
Sys_DiT_ref_class1000,391,0.91,0.47,0.42,0.6
Sys_DiT_ref_class1000,392,0.82,0.61,0.52,0.69
Sys_DiT_ref_class1000,393,0.81,0.66,0.55,0.72
Sys_DiT_ref_class1000,394,0.87,0.62,0.55,0.72
Sys_DiT_ref_class1000,395,0.67,0.62,0.5,0.64
Sys_DiT_ref_class1000,396,0.95,0.71,0.68,0.81
Sys_DiT_ref_class1000,397,0.81,0.74,0.61,0.76
Sys_DiT_ref_class1000,398,0.74,0.56,0.46,0.58
Sys_DiT_ref_class1000,399,0.84,0.52,0.45,0.62
Sys_DiT_ref_class1000,400,0.77,0.55,0.53,0.64
Sys_DiT_ref_class1000,401,0.62,0.45,0.34,0.5
Sys_DiT_ref_class1000,402,0.61,0.48,0.33,0.52
Sys_DiT_ref_class1000,403,0.76,0.52,0.41,0.61
Sys_DiT_ref_class1000,404,0.9,0.62,0.57,0.72
Sys_DiT_ref_class1000,405,0.65,0.45,0.3,0.52
