group,alignment_threshold,artifact_threshold,probability
Sys_DiT_ref_cls_1k,0.02,0.62,0.4032499999999998
Sys_DiT_ref_cls_1k,0.02,0.64,0.39784999999999976
Sys_DiT_ref_cls_1k,0.02,0.66,0.3784499999999994
Sys_DiT_ref_cls_1k,0.02,0.68,0.37784999999999946
Sys_DiT_ref_cls_1k,0.02,0.7,0.36384999999999934
Sys_DiT_ref_cls_1k,0.02,0.72,0.36384999999999934
Sys_DiT_ref_cls_1k,0.02,0.74,0.26519999999999927
Sys_DiT_ref_cls_1k,0.02,0.76,0.22439999999999952
Sys_DiT_ref_cls_1k,0.02,0.78,0.12480000000000069
Sys_DiT_ref_cls_1k,0.02,0.8,0.11940000000000067
Sys_DiT_ref_cls_1k,0.02,0.82,0.11920000000000067
Sys_DiT_ref_cls_1k,0.02,0.84,0.1040000000000005
Sys_DiT_ref_cls_1k,0.02,0.86,0.09180000000000041
Sys_DiT_ref_cls_1k,0.02,0.88,0.08980000000000038
Sys_DiT_ref_cls_1k,0.02,0.9,0.08980000000000038
Sys_DiT_ref_cls_1k,0.02,0.92,0.08780000000000036
Sys_DiT_ref_cls_1k,0.02,0.94,0.0754000000000003
Sys_DiT_ref_cls_1k,0.02,0.96,0.06780000000000024
Sys_DiT_ref_cls_1k,0.02,0.98,0.04980000000000007
Sys_DiT_ref_cls_1k,0.02,1.0,0.010799999999999994
Sys_DiT_ref_cls_1k,0.04,0.0,0.964399999999998
Sys_DiT_ref_cls_1k,0.04,0.02,0.964399999999998
Sys_DiT_ref_cls_1k,0.04,0.04,0.963999999999998
Sys_DiT_ref_cls_1k,0.04,0.06,0.963999999999998
Sys_DiT_ref_cls_1k,0.04,0.08,0.963999999999998
Sys_DiT_ref_cls_1k,0.04,0.1,0.9631999999999977
Sys_DiT_ref_cls_1k,0.04,0.12,0.9631999999999977
Sys_DiT_ref_cls_1k,0.04,0.14,0.9625999999999978
Sys_DiT_ref_cls_1k,0.04,0.16,0.9625999999999978
Sys_DiT_ref_cls_1k,0.04,0.18,0.9579999999999977
Sys_DiT_ref_cls_1k,0.04,0.2,0.9541999999999974
Sys_DiT_ref_cls_1k,0.04,0.22,0.9541999999999974
Sys_DiT_ref_cls_1k,0.04,0.24,0.9489999999999977
Sys_DiT_ref_cls_1k,0.04,0.26,0.9069499999999968
Sys_DiT_ref_cls_1k,0.04,0.28,0.9061499999999967
Sys_DiT_ref_cls_1k,0.04,0.3,0.8943499999999972
Sys_DiT_ref_cls_1k,0.04,0.32,0.7516999999999987
Sys_DiT_ref_cls_1k,0.04,0.34,0.7416999999999989
Sys_DiT_ref_cls_1k,0.04,0.36,0.7406999999999988
Sys_DiT_ref_cls_1k,0.04,0.38,0.7038999999999996
Sys_DiT_ref_cls_1k,0.04,0.4,0.6838999999999993
Sys_DiT_ref_cls_1k,0.04,0.42,0.6496999999999998
Sys_DiT_ref_cls_1k,0.04,0.44,0.5881000000000004
Sys_DiT_ref_cls_1k,0.04,0.46,0.5869000000000003
Sys_DiT_ref_cls_1k,0.04,0.48,0.5823000000000002
Sys_DiT_ref_cls_1k,0.04,0.5,0.5651000000000005
Sys_DiT_ref_cls_1k,0.04,0.52,0.5651000000000005
Sys_DiT_ref_cls_1k,0.04,0.54,0.5455000000000007
Sys_DiT_ref_cls_1k,0.04,0.56,0.5339000000000006
Sys_DiT_ref_cls_1k,0.04,0.58,0.42789999999999995
Sys_DiT_ref_cls_1k,0.04,0.6,0.4204999999999998
Sys_DiT_ref_cls_1k,0.04,0.62,0.4012499999999997
Sys_DiT_ref_cls_1k,0.04,0.64,0.3958499999999997
Sys_DiT_ref_cls_1k,0.04,0.66,0.37644999999999934
Sys_DiT_ref_cls_1k,0.04,0.68,0.37584999999999935
Sys_DiT_ref_cls_1k,0.04,0.7,0.3620499999999993
Sys_DiT_ref_cls_1k,0.04,0.72,0.3620499999999993
Sys_DiT_ref_cls_1k,0.04,0.74,0.26339999999999925
Sys_DiT_ref_cls_1k,0.04,0.76,0.22259999999999955
Sys_DiT_ref_cls_1k,0.04,0.78,0.12380000000000067
Sys_DiT_ref_cls_1k,0.04,0.8,0.11840000000000066
Sys_DiT_ref_cls_1k,0.04,0.82,0.11820000000000065
Sys_DiT_ref_cls_1k,0.04,0.84,0.10300000000000048
Sys_DiT_ref_cls_1k,0.04,0.86,0.0910000000000004
Sys_DiT_ref_cls_1k,0.04,0.88,0.08900000000000037
Sys_DiT_ref_cls_1k,0.04,0.9,0.08900000000000037
Sys_DiT_ref_cls_1k,0.04,0.92,0.08700000000000035
Sys_DiT_ref_cls_1k,0.04,0.94,0.07460000000000029
Sys_DiT_ref_cls_1k,0.04,0.96,0.06700000000000024
Sys_DiT_ref_cls_1k,0.04,0.98,0.04960000000000008
Sys_DiT_ref_cls_1k,0.04,1.0,0.010799999999999994
Sys_DiT_ref_cls_1k,0.06,0.0,0.964399999999998
Sys_DiT_ref_cls_1k,0.06,0.02,0.964399999999998
Sys_DiT_ref_cls_1k,0.06,0.04,0.963999999999998
Sys_DiT_ref_cls_1k,0.06,0.06,0.963999999999998
Sys_DiT_ref_cls_1k,0.06,0.08,0.963999999999998
Sys_DiT_ref_cls_1k,0.06,0.1,0.9631999999999977
Sys_DiT_ref_cls_1k,0.06,0.12,0.9631999999999977
Sys_DiT_ref_cls_1k,0.06,0.14,0.9625999999999978
Sys_DiT_ref_cls_1k,0.06,0.16,0.9625999999999978
Sys_DiT_ref_cls_1k,0.06,0.18,0.9579999999999977
Sys_DiT_ref_cls_1k,0.06,0.2,0.9541999999999974
Sys_DiT_ref_cls_1k,0.06,0.22,0.9541999999999974
Sys_DiT_ref_cls_1k,0.06,0.24,0.9489999999999977
Sys_DiT_ref_cls_1k,0.06,0.26,0.9069499999999968
Sys_DiT_ref_cls_1k,0.06,0.28,0.9061499999999967
Sys_DiT_ref_cls_1k,0.06,0.3,0.8943499999999972
Sys_DiT_ref_cls_1k,0.06,0.32,0.7516999999999987
Sys_DiT_ref_cls_1k,0.06,0.34,0.7416999999999989
Sys_DiT_ref_cls_1k,0.06,0.36,0.7406999999999988
Sys_DiT_ref_cls_1k,0.06,0.38,0.7038999999999996
Sys_DiT_ref_cls_1k,0.06,0.4,0.6838999999999993
Sys_DiT_ref_cls_1k,0.06,0.42,0.6496999999999998
Sys_DiT_ref_cls_1k,0.06,0.44,0.5881000000000004
Sys_DiT_ref_cls_1k,0.06,0.46,0.5869000000000003
Sys_DiT_ref_cls_1k,0.06,0.48,0.5823000000000002
Sys_DiT_ref_cls_1k,0.06,0.5,0.5651000000000005
Sys_DiT_ref_cls_1k,0.06,0.52,0.5651000000000005
Sys_DiT_ref_cls_1k,0.06,0.54,0.5455000000000007
Sys_DiT_ref_cls_1k,0.06,0.56,0.5339000000000006
Sys_DiT_ref_cls_1k,0.06,0.58,0.42789999999999995
Sys_DiT_ref_cls_1k,0.06,0.6,0.4204999999999998
Sys_DiT_ref_cls_1k,0.06,0.62,0.4012499999999997
Sys_DiT_ref_cls_1k,0.06,0.64,0.3958499999999997
Sys_DiT_ref_cls_1k,0.06,0.66,0.37644999999999934
Sys_DiT_ref_cls_1k,0.06,0.68,0.37584999999999935
Sys_DiT_ref_cls_1k,0.06,0.7,0.3620499999999993
Sys_DiT_ref_cls_1k,0.06,0.72,0.3620499999999993
Sys_DiT_ref_cls_1k,0.06,0.74,0.26339999999999925
Sys_DiT_ref_cls_1k,0.06,0.76,0.22259999999999955
Sys_DiT_ref_cls_1k,0.06,0.78,0.12380000000000067
Sys_DiT_ref_cls_1k,0.06,0.8,0.11840000000000066
Sys_DiT_ref_cls_1k,0.06,0.82,0.11820000000000065
Sys_DiT_ref_cls_1k,0.06,0.84,0.10300000000000048
Sys_DiT_ref_cls_1k,0.06,0.86,0.0910000000000004
Sys_DiT_ref_cls_1k,0.06,0.88,0.08900000000000037
Sys_DiT_ref_cls_1k,0.06,0.9,0.08900000000000037
Sys_DiT_ref_cls_1k,0.06,0.92,0.08700000000000035
Sys_DiT_ref_cls_1k,0.06,0.94,0.07460000000000029
Sys_DiT_ref_cls_1k,0.06,0.96,0.06700000000000024
Sys_DiT_ref_cls_1k,0.06,0.98,0.04960000000000008
Sys_DiT_ref_cls_1k,0.06,1.0,0.010799999999999994
Sys_DiT_ref_cls_1k,0.08,0.0,0.964399999999998
Sys_DiT_ref_cls_1k,0.08,0.02,0.964399999999998
Sys_DiT_ref_cls_1k,0.08,0.04,0.963999999999998
Sys_DiT_ref_cls_1k,0.08,0.06,0.963999999999998
Sys_DiT_ref_cls_1k,0.08,0.08,0.963999999999998
Sys_DiT_ref_cls_1k,0.08,0.1,0.9631999999999977
Sys_DiT_ref_cls_1k,0.08,0.12,0.9631999999999977
Sys_DiT_ref_cls_1k,0.08,0.14,0.9625999999999978
Sys_DiT_ref_cls_1k,0.08,0.16,0.9625999999999978
Sys_DiT_ref_cls_1k,0.08,0.18,0.9579999999999977
Sys_DiT_ref_cls_1k,0.08,0.2,0.9541999999999974
Sys_DiT_ref_cls_1k,0.08,0.22,0.9541999999999974
Sys_DiT_ref_cls_1k,0.08,0.24,0.9489999999999977
Sys_DiT_ref_cls_1k,0.08,0.26,0.9069499999999968
Sys_DiT_ref_cls_1k,0.08,0.28,0.9061499999999967
Sys_DiT_ref_cls_1k,0.08,0.3,0.8943499999999972
Sys_DiT_ref_cls_1k,0.08,0.32,0.7516999999999987
Sys_DiT_ref_cls_1k,0.08,0.34,0.7416999999999989
Sys_DiT_ref_cls_1k,0.08,0.36,0.7406999999999988
Sys_DiT_ref_cls_1k,0.08,0.38,0.7038999999999996
Sys_DiT_ref_cls_1k,0.08,0.4,0.6838999999999993
Sys_DiT_ref_cls_1k,0.08,0.42,0.6496999999999998
Sys_DiT_ref_cls_1k,0.08,0.44,0.5881000000000004
Sys_DiT_ref_cls_1k,0.08,0.46,0.5869000000000003
Sys_DiT_ref_cls_1k,0.08,0.48,0.5823000000000002
Sys_DiT_ref_cls_1k,0.08,0.5,0.5651000000000005
Sys_DiT_ref_cls_1k,0.08,0.52,0.5651000000000005
Sys_DiT_ref_cls_1k,0.08,0.54,0.5455000000000007
Sys_DiT_ref_cls_1k,0.08,0.56,0.5339000000000006
Sys_DiT_ref_cls_1k,0.08,0.58,0.42789999999999995
Sys_DiT_ref_cls_1k,0.08,0.6,0.4204999999999998
Sys_DiT_ref_cls_1k,0.08,0.62,0.4012499999999997
Sys_DiT_ref_cls_1k,0.08,0.64,0.3958499999999997
Sys_DiT_ref_cls_1k,0.08,0.66,0.37644999999999934
Sys_DiT_ref_cls_1k,0.08,0.68,0.37584999999999935
Sys_DiT_ref_cls_1k,0.08,0.7,0.3620499999999993
Sys_DiT_ref_cls_1k,0.08,0.72,0.3620499999999993
Sys_DiT_ref_cls_1k,0.08,0.74,0.26339999999999925
Sys_DiT_ref_cls_1k,0.08,0.76,0.22259999999999955
Sys_DiT_ref_cls_1k,0.08,0.78,0.12380000000000067
Sys_DiT_ref_cls_1k,0.08,0.8,0.11840000000000066
Sys_DiT_ref_cls_1k,0.08,0.82,0.11820000000000065
Sys_DiT_ref_cls_1k,0.08,0.84,0.10300000000000048
Sys_DiT_ref_cls_1k,0.08,0.86,0.0910000000000004
Sys_DiT_ref_cls_1k,0.08,0.88,0.08900000000000037
Sys_DiT_ref_cls_1k,0.08,0.9,0.08900000000000037
Sys_DiT_ref_cls_1k,0.08,0.92,0.08700000000000035
Sys_DiT_ref_cls_1k,0.08,0.94,0.07460000000000029
Sys_DiT_ref_cls_1k,0.08,0.96,0.06700000000000024
Sys_DiT_ref_cls_1k,0.08,0.98,0.04960000000000008
Sys_DiT_ref_cls_1k,0.08,1.0,0.010799999999999994
Sys_DiT_ref_cls_1k,0.1,0.0,0.9611999999999982
Sys_DiT_ref_cls_1k,0.1,0.02,0.9611999999999982
Sys_DiT_ref_cls_1k,0.1,0.04,0.9609999999999981
Sys_DiT_ref_cls_1k,0.1,0.06,0.9609999999999981
Sys_DiT_ref_cls_1k,0.1,0.08,0.9609999999999981
Sys_DiT_ref_cls_1k,0.1,0.1,0.9601999999999978
Sys_DiT_ref_cls_1k,0.1,0.12,0.9601999999999978
Sys_DiT_ref_cls_1k,0.1,0.14,0.9595999999999979
Sys_DiT_ref_cls_1k,0.1,0.16,0.9595999999999979
Sys_DiT_ref_cls_1k,0.1,0.18,0.9555999999999978
Sys_DiT_ref_cls_1k,0.1,0.2,0.9517999999999975
Sys_DiT_ref_cls_1k,0.1,0.22,0.9517999999999975
Sys_DiT_ref_cls_1k,0.1,0.24,0.9471999999999979
Sys_DiT_ref_cls_1k,0.1,0.26,0.9053499999999968
Sys_DiT_ref_cls_1k,0.1,0.28,0.9045499999999965
Sys_DiT_ref_cls_1k,0.1,0.3,0.892749999999997
Sys_DiT_ref_cls_1k,0.1,0.32,0.7500999999999988
Sys_DiT_ref_cls_1k,0.1,0.34,0.7400999999999989
Sys_DiT_ref_cls_1k,0.1,0.36,0.7390999999999989
Sys_DiT_ref_cls_1k,0.1,0.38,0.7026999999999997
Sys_DiT_ref_cls_1k,0.1,0.4,0.6826999999999991
Sys_DiT_ref_cls_1k,0.1,0.42,0.6484999999999997
Sys_DiT_ref_cls_1k,0.1,0.44,0.5871000000000003
Sys_DiT_ref_cls_1k,0.1,0.46,0.5859000000000002
Sys_DiT_ref_cls_1k,0.1,0.48,0.5813000000000001
Sys_DiT_ref_cls_1k,0.1,0.5,0.5641000000000005
Sys_DiT_ref_cls_1k,0.1,0.52,0.5641000000000005
Sys_DiT_ref_cls_1k,0.1,0.54,0.5447000000000007
Sys_DiT_ref_cls_1k,0.1,0.56,0.5331000000000006
Sys_DiT_ref_cls_1k,0.1,0.58,0.42749999999999994
Sys_DiT_ref_cls_1k,0.1,0.6,0.42009999999999986
Sys_DiT_ref_cls_1k,0.1,0.62,0.40084999999999976
Sys_DiT_ref_cls_1k,0.1,0.64,0.3954499999999997
Sys_DiT_ref_cls_1k,0.1,0.66,0.3760499999999994
Sys_DiT_ref_cls_1k,0.1,0.68,0.37544999999999934
Sys_DiT_ref_cls_1k,0.1,0.7,0.3616499999999993
Sys_DiT_ref_cls_1k,0.1,0.72,0.3616499999999993
Sys_DiT_ref_cls_1k,0.1,0.74,0.26319999999999927
Sys_DiT_ref_cls_1k,0.1,0.76,0.22239999999999951
Sys_DiT_ref_cls_1k,0.1,0.78,0.12380000000000067
Sys_DiT_ref_cls_1k,0.1,0.8,0.11840000000000066
Sys_DiT_ref_cls_1k,0.1,0.82,0.11820000000000065
Sys_DiT_ref_cls_1k,0.1,0.84,0.10300000000000048
Sys_DiT_ref_cls_1k,0.1,0.86,0.0910000000000004
Sys_DiT_ref_cls_1k,0.1,0.88,0.08900000000000037
Sys_DiT_ref_cls_1k,0.1,0.9,0.08900000000000037
Sys_DiT_ref_cls_1k,0.1,0.92,0.08700000000000035
Sys_DiT_ref_cls_1k,0.1,0.94,0.07460000000000029
Sys_DiT_ref_cls_1k,0.1,0.96,0.06700000000000024
Sys_DiT_ref_cls_1k,0.1,0.98,0.04960000000000008
Sys_DiT_ref_cls_1k,0.1,1.0,0.010799999999999994
Sys_DiT_ref_cls_1k,0.12,0.0,0.9611999999999982
Sys_DiT_ref_cls_1k,0.12,0.02,0.9611999999999982
