score_type,source,n,mean,median,std,min,max,pct_<=1,pct_1-2,pct_2-3,pct_3-4,pct_4-5,skewness,kurtosis
alignment_score,Human (3人平均),500,3.7705,4.205,1.3274,0.0,5.0,6.4,6.4,9.4,19.2,58.6,-1.3286,0.9205
alignment_score,Sys_DiT_ref (3次平均),499,3.7704,4.2833,1.2557,0.0,5.0,5.21,7.82,7.62,20.44,58.92,-1.3866,1.0277
artifact_score,Human (3人平均),500,2.574,2.3333,1.0601,0.0,5.0,10.2,38.2,22.2,23.0,6.4,0.2229,-0.6171
artifact_score,Sys_DiT_ref (3次平均),499,2.5458,2.5167,0.9994,0.1667,5.0,3.21,34.27,30.46,25.25,6.81,0.2806,-0.6517
