group,score_type,n_common_images,mean_score,std_across_runs (avg per-image std),cv_across_runs (avg per-image CV),icc_2_1 (absolute agreement),icc_3_1 (consistency),avg_pairwise_pearson_r
Sys_DiT_ref,alignment_score,499,3.7704,0.3466,0.1529,0.8378,0.8376,0.8376
Sys_DiT_ref,artifact_score,499,2.5458,0.3931,0.1696,0.7396,0.7399,0.7403
Human_DiT,alignment_score,406,3.7799,0.3141,0.1296,0.8786,0.8865,0.8902
Human_DiT,artifact_score,406,2.5714,0.3113,0.1302,0.7956,0.8088,0.8184
