class_id,num_images,vendi_score
4,5,3.449554204940796
7,5,2.1193206310272217
10,5,2.3874104022979736
25,5,2.229637384414673
35,5,3.1697354316711426
39,5,2.955674171447754
49,5,2.531811237335205
51,5,2.5188181400299072
52,5,3.7661845684051514
64,5,3.2979071140289307
80,5,2.866779327392578
97,5,2.9217591285705566
106,5,3.012727737426758
116,5,1.8021481037139893
118,5,3.2497897148132324
129,5,2.611088275909424
144,5,2.644195318222046
147,5,3.277747869491577
150,5,3.4430108070373535
156,5,2.8021130561828613
159,5,3.962172269821167
281,5,2.947436809539795
300,5,1.8966552019119263
322,5,3.877775192260742
330,5,2.3289215564727783
333,5,2.5194056034088135
339,5,3.855666160583496
347,5,2.458253860473633
356,5,3.835059404373169
365,5,1.6785863637924194
370,5,2.771630048751831
389,5,3.0184006690979004
392,5,3.195359468460083
394,5,3.2856860160827637
396,5,1.8345128297805786
400,5,2.3473949432373047
405,5,3.1850638389587402
406,5,3.6910996437072754
413,5,3.5558648109436035
415,5,3.2695248126983643
419,5,3.2912092208862305
421,5,3.5537922382354736
426,5,3.7350854873657227
429,5,2.9397664070129395
432,5,3.431796073913574
443,5,1.7516098022460938
446,5,3.4881837368011475
453,5,3.4851043224334717
461,5,3.6212246417999268
477,5,2.71505069732666
479,5,4.254542827606201
481,5,2.671382427215576
488,5,2.88309907913208
499,5,4.287905693054199
529,5,4.256239414215088
535,5,3.601802349090576
554,5,3.7430927753448486
567,5,3.8716719150543213
575,5,2.773146390914917
585,5,4.756381034851074
590,5,3.354393243789673
605,5,2.7762033939361572
606,5,3.104611396789551
626,5,4.662834167480469
632,5,3.472216844558716
633,5,3.5546510219573975
634,5,3.966663360595703
645,5,3.6131527423858643
654,5,4.2581353187561035
679,5,3.562368154525757
687,5,2.0241329669952393
730,5,3.2564287185668945
743,5,4.222659111022949
746,5,4.109433650970459
755,5,2.0602521896362305
756,5,2.7820940017700195
806,5,3.3168413639068604
810,5,3.072831869125366
819,5,2.248084783554077
836,5,4.770241737365723
903,5,3.833746910095215
917,5,3.864905834197998
919,5,3.7435402870178223
920,5,4.044055461883545
922,5,3.429396152496338
928,5,3.905780076980591
931,5,2.8496246337890625
943,5,3.8107967376708984
952,5,3.833531618118286
960,5,4.051651477813721
962,5,3.5209062099456787
968,5,3.8573837280273438
971,5,2.5443739891052246
972,5,3.2726831436157227
981,5,3.278043746948242
982,5,3.041271209716797
983,5,2.8067502975463867
985,5,3.5158777236938477
991,5,2.8422858715057373
999,5,3.6823132038116455
OVERALL,500,235.24197387695312
MEAN,500,3.2360111701488496
MEDIAN,500,3.281864881515503
