score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_IMF_ref,3.7556,3.8669,-0.1113,-0.17,32.06,65.73,0.8113,0.7187,0.8039,0.8066
artifact_score,Sys_IMF_ref,2.6867,2.9345,-0.2479,-0.2033,31.46,66.53,0.8156,0.8118,0.7917,0.8147
