source,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
Sys_IMF_ref_2,10,0.94,0.87,0.83,0.9
Sys_IMF_ref_2,25,0.84,0.52,0.46,0.62
Sys_IMF_ref_2,35,0.6,0.6,0.38,0.58
Sys_IMF_ref_2,39,0.89,0.73,0.67,0.79
Sys_IMF_ref_2,49,0.91,0.74,0.68,0.81
Sys_IMF_ref_2,51,0.94,0.61,0.58,0.72
Sys_IMF_ref_2,52,0.71,0.58,0.42,0.6
Sys_IMF_ref_2,64,0.79,0.75,0.59,0.76
Sys_IMF_ref_2,80,0.82,0.31,0.25,0.44
Sys_IMF_ref_2,97,0.97,0.76,0.74,0.82
Sys_IMF_ref_2,106,0.92,0.59,0.55,0.69
Sys_IMF_ref_2,116,0.97,0.75,0.73,0.84
Sys_IMF_ref_2,118,0.74,0.56,0.44,0.64
Sys_IMF_ref_2,129,0.86,0.37,0.32,0.51
Sys_IMF_ref_2,144,0.7,0.38,0.33,0.47
Sys_IMF_ref_2,147,0.97,0.77,0.75,0.86
Sys_IMF_ref_2,150,0.84,0.66,0.58,0.74
Sys_IMF_ref_2,156,0.92,0.3,0.28,0.45
Sys_IMF_ref_2,159,0.64,0.3,0.2,0.4
Sys_IMF_ref_2,281,0.85,0.3,0.26,0.44
Sys_IMF_ref_2,300,0.92,0.83,0.78,0.87
Sys_IMF_ref_2,322,0.86,0.79,0.69,0.82
Sys_IMF_ref_2,330,0.71,0.52,0.39,0.6
Sys_IMF_ref_2,333,0.82,0.31,0.25,0.44
Sys_IMF_ref_2,339,0.67,0.54,0.37,0.58
Sys_IMF_ref_2,347,0.85,0.45,0.4,0.56
Sys_IMF_ref_2,356,0.82,0.5,0.44,0.6
Sys_IMF_ref_2,365,0.91,0.41,0.38,0.55
Sys_IMF_ref_2,370,0.91,0.35,0.32,0.5
Sys_IMF_ref_2,389,0.36,0.51,0.18,0.39
Sys_IMF_ref_2,392,0.89,0.65,0.58,0.75
Sys_IMF_ref_2,394,0.86,0.6,0.53,0.7
Sys_IMF_ref_2,396,0.93,0.65,0.61,0.76
Sys_IMF_ref_2,400,0.83,0.41,0.35,0.53
Sys_IMF_ref_2,405,0.7,0.51,0.36,0.58
Sys_IMF_ref_2,406,0.91,0.65,0.6,0.76
Sys_IMF_ref_2,413,0.74,0.52,0.44,0.59
Sys_IMF_ref_2,415,0.89,0.66,0.59,0.76
Sys_IMF_ref_2,419,0.56,0.51,0.37,0.51
Sys_IMF_ref_2,421,0.42,0.45,0.2,0.42
Sys_IMF_ref_2,426,0.57,0.41,0.24,0.47
Sys_IMF_ref_2,429,0.6,0.36,0.26,0.4
Sys_IMF_ref_2,432,0.85,0.57,0.5,0.66
Sys_IMF_ref_2,443,0.91,0.54,0.49,0.65
Sys_IMF_ref_2,446,0.69,0.52,0.32,0.52
Sys_IMF_ref_2,453,0.73,0.52,0.4,0.6
Sys_IMF_ref_2,461,0.88,0.69,0.61,0.77
Sys_IMF_ref_2,477,0.63,0.49,0.3,0.51
Sys_IMF_ref_2,479,0.79,0.52,0.43,0.62
Sys_IMF_ref_2,481,0.87,0.61,0.54,0.71
Sys_IMF_ref_2,488,0.97,0.83,0.8,0.89
Sys_IMF_ref_2,499,0.51,0.34,0.18,0.37
Sys_IMF_ref_2,529,0.82,0.72,0.6,0.74
Sys_IMF_ref_2,535,0.81,0.59,0.48,0.68
Sys_IMF_ref_2,554,0.83,0.48,0.42,0.59
Sys_IMF_ref_2,567,0.85,0.5,0.42,0.62
Sys_IMF_ref_2,575,0.72,0.36,0.27,0.46
Sys_IMF_ref_2,585,0.65,0.55,0.39,0.58
