score_type,source,n,mean,median,std,min,max,pct_<=1,pct_1-2,pct_2-3,pct_3-4,pct_4-5,skewness,kurtosis
alignment_score,Human (3人平均),499,3.8669,4.38,1.3442,0.0,5.0,5.41,6.61,9.22,17.43,61.32,-1.3562,1.0025
alignment_score,Sys_IMF_ref (3次平均),499,3.7556,4.15,1.2061,0.0,4.9733,4.21,8.22,9.42,20.84,57.31,-1.3469,1.0718
artifact_score,Human (3人平均),499,2.9345,3.0,1.0457,0.3333,5.0,6.81,20.24,27.86,35.07,10.02,-0.163,-0.6732
artifact_score,Sys_IMF_ref (3次平均),499,2.6867,2.7333,0.9982,0.3733,4.9833,2.0,30.86,27.86,30.66,8.62,0.1295,-0.9362
