class_id,num_images,vendi_score
4,5,3.2453269958496094
7,5,2.6682205200195312
10,5,2.9151883125305176
25,5,2.2210631370544434
35,5,2.901271104812622
39,5,3.1538116931915283
49,5,3.4757113456726074
51,5,2.7955162525177
52,5,3.3126230239868164
64,5,3.160092830657959
80,5,3.1071853637695312
97,5,2.7744181156158447
106,5,3.558758020401001
116,5,3.3670105934143066
118,5,3.6081511974334717
129,5,3.441391944885254
144,5,3.233678102493286
147,5,3.5621445178985596
150,5,3.551055669784546
156,5,2.576650619506836
159,5,3.7896738052368164
281,5,2.8710412979125977
300,5,2.8139209747314453
322,5,2.907593011856079
330,5,2.4737086296081543
333,5,2.4963715076446533
339,5,3.272777557373047
347,5,2.901522397994995
356,5,3.633302927017212
365,5,2.3968403339385986
370,5,3.647233486175537
389,5,2.440497398376465
392,5,2.2378618717193604
394,5,4.609296798706055
396,5,2.2230823040008545
400,5,2.3847665786743164
405,5,2.751720666885376
406,5,2.623051404953003
413,5,3.410147190093994
415,5,3.8025286197662354
419,5,4.7559709548950195
421,5,3.884552478790283
426,5,2.957428455352783
429,5,1.8427945375442505
432,5,3.586074113845825
443,5,3.559903621673584
446,5,4.495772838592529
453,5,3.1045868396759033
461,5,2.4137842655181885
477,5,3.643488645553589
479,5,3.6290414333343506
481,5,3.1707546710968018
488,5,4.331395149230957
499,5,3.701169729232788
529,5,3.413224220275879
535,5,3.4606246948242188
554,5,2.664224624633789
567,5,4.15772008895874
575,5,3.145522117614746
585,5,4.516619682312012
590,5,3.7761619091033936
605,5,4.092963695526123
606,5,4.560929775238037
626,5,4.445689678192139
632,5,3.714796304702759
633,5,3.976851463317871
634,5,3.982332706451416
645,5,2.5350005626678467
654,5,2.825559616088867
679,5,3.086678981781006
687,5,2.744748830795288
730,5,3.4035286903381348
743,5,4.686389923095703
746,5,3.9985415935516357
755,5,2.593177080154419
756,5,3.2887508869171143
806,5,2.3805251121520996
810,5,2.3390049934387207
819,5,3.3279452323913574
836,5,3.6599223613739014
903,5,3.629206895828247
917,5,2.5522947311401367
919,5,3.042344808578491
920,5,3.8269927501678467
922,5,3.495392322540283
928,5,3.7342329025268555
931,5,2.296093463897705
943,5,4.011611461639404
952,5,3.6790692806243896
960,5,4.008425712585449
962,5,3.5456652641296387
968,5,3.7580392360687256
971,5,3.7708802223205566
972,5,4.451430320739746
981,5,2.3853726387023926
982,5,3.371826648712158
983,5,1.97050940990448
985,5,3.345141649246216
991,5,2.3418967723846436
999,5,4.158045291900635
OVERALL,500,176.5518341064453
MEAN,500,3.2954483246803283
MEDIAN,500,3.3560761213302612
