class_id,class_name,num_images,vendi_score,vendi_ratio,vendi_ratio_train
4,,50,11.221428871154785,1.0563150045748282,0.9410820660278038
7,,50,3.643064022064209,0.48317232562072304,0.7076656768769393
10,,50,6.109772205352783,0.9389923116654091,1.0110952035458394
25,,50,3.691901206970215,1.0068411425133883,0.7550595387358346
35,,50,10.220930099487305,0.9359695247676761,0.7761382036579408
39,,50,4.981357574462891,0.6505299900732917,0.7593511958362771
49,,50,6.937131404876709,0.9981302149254583,0.9930152240676606
51,,50,6.494316101074219,0.8277481151875387,0.9027541165547892
52,,50,14.16115665435791,1.9935223156895756,0.8421855458860579
64,,50,9.0167875289917,1.1452142592137924,0.9121382405717416
80,,50,4.032816410064697,0.3896545671169789,0.6338374131053266
97,,50,7.48234748840332,1.346079363130858,0.7991446552277363
106,,50,8.806061744689941,2.4495342673033966,0.7426840603416343
116,,50,3.2215752601623535,0.2942438738943316,0.4926776242311596
118,,50,8.584753036499023,1.1569376906283362,0.8409148483227493
129,,50,7.288525104522705,0.7794187370996842,1.1982584330221515
144,,50,5.61635684967041,0.9804235005893768,0.8732194262026868
147,,50,8.612314224243164,0.8792165327250343,0.7897397284116969
150,,50,8.769753456115723,1.1974273631611785,0.8152893612621973
156,,50,6.424638748168945,0.4811585135252404,0.8210121293022641
159,,50,13.020530700683594,0.9178472235574192,0.8468272409970797
281,,50,16.033126831054688,1.843020510074813,1.056857644196772
300,,50,4.385868072509766,0.6615724132930868,1.1214975502551499
322,,50,13.938987731933594,0.8529919082976191,0.9492881571986903
330,,50,5.735289573669434,0.3520778604316998,0.9405739421894915
333,,50,6.183773994445801,0.8974909893200604,0.8151279902819045
339,,50,12.877304077148438,1.7147883956794872,1.0029892753737861
347,,50,5.51346492767334,0.5234602873537513,0.8466177874575317
356,,50,9.828510284423828,1.0660472123261677,0.6971815688958463
365,,50,3.4514071941375732,0.69189336423826,0.6522994870518191
370,,50,7.335068225860596,0.7185317465062625,0.7931118518346231
389,,50,11.249102592468262,2.4590643390672744,0.9971041733644299
392,,50,6.807806015014648,0.4630212887899,1.1460866342607439
394,,50,7.885869979858398,1.537200302571917,0.7218692725591875
396,,50,3.4393322467803955,0.222244621212448,0.932409067030268
400,,50,5.7721171379089355,0.2912901994680979,0.9062538247363361
405,,50,6.947994709014893,0.4904127692692726,0.8867732615589293
406,,50,11.434202194213867,1.034285152331009,0.616849411190321
413,,50,9.100192070007324,0.3672841029154502,0.8388825502840801
415,,50,15.596481323242188,0.7558841356686198,0.6815220955031493
419,,50,24.886594772338867,1.381033886378724,1.0007292043842577
421,,50,17.332000732421875,1.840563218469962,0.7959695280142233
426,,50,11.98868179321289,1.2539284500217849,0.8705053955697547
429,,50,8.741900444030762,0.4790997246726025,1.0122932522345882
432,,50,9.188057899475098,1.050829057940364,0.9034876948693992
443,,50,6.495455741882324,0.26152569283787547,0.7976748449363447
446,,50,19.538284301757812,1.2635250264270288,0.8533137927844281
453,,50,11.278839111328125,0.513652794976672,0.717576421240862
461,,50,8.174396514892578,0.3470435242343259,0.6177400490572219
477,,50,11.452805519104004,2.3176675602518664,0.7463821327267212
479,,50,15.912620544433594,0.5687871590449051,0.8910641650160488
481,,50,7.456181526184082,0.5893517259387417,1.0097653726276434
488,,50,12.61861515045166,0.8769690762414178,0.8418637359146197
499,,50,19.12620735168457,1.4567076284719254,1.2195383091613248
529,,50,12.371273040771484,2.7001140431232455,0.6626431504690385
535,,50,10.19217300415039,0.5051425215825203,0.9829774780334477
554,,50,8.156325340270996,0.9281472502998767,0.7081123603982694
567,,50,19.321880340576172,3.4437758564158245,0.8345860679420639
575,,50,6.183830738067627,0.827999560985897,0.8663192019654877
585,,50,23.926137924194336,1.1948254655954165,0.8888630255145377
590,,50,17.93886947631836,1.0861229531406695,0.9027223809063873
605,,50,16.02541160583496,5.985950498304905,1.3195649410875063
606,,50,12.390820503234863,1.2588291693920255,1.0004022805349866
626,,50,19.85048484802246,2.671285487533932,0.85753202535739
632,,50,18.959030151367188,1.075309711623123,1.0127834822201491
633,,50,20.90365219116211,1.0391897388924762,1.0236123675506887
634,,50,13.315841674804688,0.46826586642958257,0.761965651840619
645,,50,4.334794521331787,0.31857450752964034,0.5196285905642118
654,,50,19.751245498657227,1.2721755438785984,1.054982280403959
679,,50,8.939737319946289,0.4792650010961647,0.572456020565494
687,,50,7.190464973449707,0.37154864660132053,0.8727147309307632
730,,50,15.376638412475586,1.2752904755652508,0.9512492526501936
743,,50,19.96616554260254,1.167304196209302,0.8791826424301903
746,,50,13.166507720947266,0.7722965282892298,1.4804443452289124
755,,50,4.946256160736084,0.26512351888872465,1.0864045454635265
756,,50,13.089835166931152,2.7879811426128747,0.9472757171150675
806,,50,8.288935661315918,0.9021126150970649,0.8811682297497055
810,,50,9.775931358337402,0.4031512620079474,0.980377463141343
819,,50,15.111891746520996,0.4350182754177101,0.8366362483800541
836,,50,13.617855072021484,1.0720597809896308,0.7096861678148964
903,,50,17.578805923461914,1.1091810845495773,0.7619240714534081
917,,50,10.20690631866455,0.6067519335449888,0.4964447576148629
919,,50,16.699203491210938,2.1200205580580507,1.1778711585871198
920,,50,11.98966121673584,0.6521297164372174,0.8117850571344102
922,,50,15.413290977478027,0.532033946924485,0.886527312635764
928,,50,15.475401878356934,2.319017529037139,0.7700056658463393
931,,50,8.316436767578125,0.5412528922597515,0.7330240226428958
943,,50,15.110108375549316,0.8730058159992269,0.9000681794019637
952,,50,10.284317970275879,0.7183903493815245,0.7277627269330786
960,,50,18.41559410095215,2.701034393020671,0.7569467119383401
962,,50,15.52758502960205,0.595998152176738,0.7940105861706488
968,,50,20.610471725463867,1.729701604778319,0.7822420266337509
971,,50,7.702939033508301,0.341414399726771,0.750804925785573
972,,50,20.98850440979004,2.1011169179400273,0.8635001263011093
981,,50,8.922094345092773,0.6149278186477416,0.9059499016679305
982,,50,10.843862533569336,0.9881076327410077,0.7603490860616298
983,,50,7.654123306274414,0.45024396187624455,0.8440996746826869
985,,50,16.417369842529297,2.175438574321086,0.9423581810566851
991,,50,4.050715446472168,0.4258396418340924,0.6623730911454662
999,,50,9.91543960571289,0.8499217567172204,0.6594458615599728
OVERALL,,5000,339.5254821777344,,
MEAN,,5000,11.212588815689086,,
MEDIAN,,5000,10.19953966140747,,
STD,,5000,5.206780639452547,,
SE,,5000,0.5206780639452547,,
CI95_LOW,,5000,10.179450574889715,,
CI95_HIGH,,5000,12.245727056488457,,
MIN,,5000,3.2215752601623535,,
MAX,,5000,24.886594772338867,,
MEAN_VENDI_RATIO,,5000,,1.0920401125916175,
MEDIAN_VENDI_RATIO,,5000,,0.8998018022085627,
STD_VENDI_RATIO,,5000,,0.8397126959201782,
SE_VENDI_RATIO,,5000,,0.08397126959201781,
CI95_LOW_VENDI_RATIO,,5000,,0.9254228960209028,
CI95_HIGH_VENDI_RATIO,,5000,,1.2586573291623322,
MIN_VENDI_RATIO,,5000,,0.222244621212448,
MAX_VENDI_RATIO,,5000,,5.985950498304905,
MEAN_VENDI_RATIO_TRAIN,,5000,,,0.8591707314946059
MEDIAN_VENDI_RATIO_TRAIN,,5000,,,0.8467225142273057
STD_VENDI_RATIO_TRAIN,,5000,,,0.16468033565796644
SE_VENDI_RATIO_TRAIN,,5000,,,0.016468033565796646
CI95_LOW_VENDI_RATIO_TRAIN,,5000,,,0.8264945801340581
CI95_HIGH_VENDI_RATIO_TRAIN,,5000,,,0.8918468828551537
MIN_VENDI_RATIO_TRAIN,,5000,,,0.4926776242311596
MAX_VENDI_RATIO_TRAIN,,5000,,,1.4804443452289124
