source,alignment_norm,authenticity_norm,composite_product,composite_harmonic,alignment_norm_std,alignment_norm_se,alignment_norm_ci_low,alignment_norm_ci_high,authenticity_norm_std,authenticity_norm_se,authenticity_norm_ci_low,authenticity_norm_ci_high,composite_product_std,composite_product_se,composite_product_ci_low,composite_product_ci_high,composite_harmonic_std,composite_harmonic_se,composite_harmonic_ci_low,composite_harmonic_ci_high
Sys_VAR_ref_600_1,0.7543,0.5543,0.4494,0.6115,0.1609,0.0161,0.7224,0.7862,0.1386,0.0139,0.5268,0.5818,0.1621,0.0162,0.4172,0.4816,0.1436,0.0144,0.583,0.64
Sys_VAR_ref_600_2,0.7608,0.5616,0.4583,0.6189,0.1584,0.0158,0.7294,0.7922,0.1438,0.0144,0.5331,0.5901,0.1686,0.0169,0.4249,0.4917,0.1485,0.0148,0.5894,0.6484
Sys_VAR_ref_600_3,0.7611,0.5697,0.4637,0.6238,0.1609,0.0161,0.7292,0.793,0.1497,0.015,0.54,0.5994,0.1698,0.017,0.43,0.4974,0.1494,0.0149,0.5942,0.6534
User_VAR_600_1,0.7919,0.6019,0.5045,0.6462,0.191,0.0191,0.754,0.8298,0.1411,0.0141,0.5739,0.6299,0.1813,0.0181,0.4685,0.5405,0.1675,0.0167,0.613,0.6794
User_VAR_600_2,0.7798,0.608,0.5033,0.6445,0.1847,0.0185,0.7432,0.8164,0.1478,0.0148,0.5787,0.6373,0.1869,0.0187,0.4662,0.5404,0.1722,0.0172,0.6103,0.6787
User_VAR_600_3,0.7771,0.6188,0.5084,0.6476,0.1944,0.0194,0.7385,0.8157,0.1463,0.0146,0.5898,0.6478,0.1912,0.0191,0.4705,0.5463,0.1751,0.0175,0.6129,0.6823
Sys_VAR_ref_600_AVG_STATS,0.7587,0.5619,0.4571,0.6181,0.1601,0.016,0.727,0.7905,0.144,0.0144,0.5333,0.5904,0.1668,0.0167,0.424,0.4902,0.1472,0.0147,0.5889,0.6473
Sys_VAR_ref_600_AVG_PERCLASS,0.7587,0.5619,0.4571,0.6181,0.1565,0.0156,0.7277,0.7898,0.1389,0.0139,0.5343,0.5894,0.1625,0.0163,0.4249,0.4894,0.1437,0.0144,0.5896,0.6466
Human_VAR_600_AVG_STATS,0.7829,0.6096,0.5054,0.6461,0.19,0.019,0.7452,0.8206,0.1451,0.0145,0.5808,0.6383,0.1865,0.0186,0.4684,0.5424,0.1716,0.0171,0.6121,0.6801
Human_VAR_600_AVG_PERCLASS,0.7829,0.6096,0.5054,0.6461,0.1868,0.0187,0.7459,0.82,0.1394,0.0139,0.5819,0.6372,0.1818,0.0182,0.4693,0.5415,0.1676,0.0168,0.6128,0.6794
