score_type,source,n,mean,median,std,min,max,pct_<=1,pct_1-2,pct_2-3,pct_3-4,pct_4-5,skewness,kurtosis
alignment_score,Human (3人平均),600,3.9141,4.38,1.3658,0.0,5.0,6.17,5.33,8.5,18.0,62.0,-1.4471,1.2327
alignment_score,Sys_VAR_ref_600 (3次平均),600,3.7943,4.29,1.2229,0.0,5.0,4.5,6.67,11.17,18.5,59.17,-1.3603,1.0813
authenticity_score,Human (3人平均),600,3.0467,3.0,1.052,0.3333,5.0,5.5,18.33,29.17,35.0,12.0,-0.158,-0.7197
authenticity_score,Sys_VAR_ref_600 (3次平均),600,2.8081,2.9083,1.0219,0.6167,5.0,1.17,28.5,24.33,34.5,11.5,0.0141,-0.998
