group,score_type,n_common_images,mean_score,std_across_runs (avg per-image std),cv_across_runs (avg per-image CV),icc_2_1 (absolute agreement),icc_3_1 (consistency),avg_pairwise_pearson_r
Sys_VAR_ref_600,alignment_score,599,3.7938,0.3589,0.1563,0.8216,0.8215,0.8216
Sys_VAR_ref_600,authenticity_score,599,2.8103,0.426,0.1587,0.7352,0.7358,0.7358
Human_VAR_600,alignment_score,599,3.9141,0.2902,0.1287,0.836,0.8364,0.8363
Human_VAR_600,authenticity_score,599,3.0467,0.3843,0.1432,0.7538,0.7546,0.7547
