source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean
Sys_VAR_ref_600_1,4,0.89,0.58,0.53,0.68
Sys_VAR_ref_600_1,7,0.86,0.54,0.46,0.63
Sys_VAR_ref_600_1,10,0.72,0.52,0.37,0.58
Sys_VAR_ref_600_1,25,0.81,0.64,0.57,0.7
Sys_VAR_ref_600_1,35,0.72,0.55,0.42,0.62
Sys_VAR_ref_600_1,39,0.78,0.6,0.5,0.65
Sys_VAR_ref_600_1,49,0.64,0.64,0.42,0.63
Sys_VAR_ref_600_1,51,0.93,0.72,0.68,0.79
Sys_VAR_ref_600_1,52,0.75,0.7,0.57,0.72
Sys_VAR_ref_600_1,64,0.82,0.72,0.64,0.76
Sys_VAR_ref_600_1,80,0.84,0.38,0.33,0.51
Sys_VAR_ref_600_1,97,0.95,0.64,0.62,0.74
Sys_VAR_ref_600_1,106,0.94,0.72,0.68,0.81
Sys_VAR_ref_600_1,116,0.97,0.82,0.79,0.88
Sys_VAR_ref_600_1,118,0.64,0.45,0.34,0.51
Sys_VAR_ref_600_1,129,0.83,0.51,0.43,0.62
Sys_VAR_ref_600_1,144,0.82,0.44,0.37,0.55
Sys_VAR_ref_600_1,147,0.85,0.65,0.57,0.74
Sys_VAR_ref_600_1,150,0.86,0.48,0.42,0.6
Sys_VAR_ref_600_1,156,0.92,0.48,0.44,0.61
Sys_VAR_ref_600_1,159,0.73,0.45,0.34,0.55
Sys_VAR_ref_600_1,281,0.78,0.28,0.23,0.41
Sys_VAR_ref_600_1,300,0.84,0.66,0.62,0.73
Sys_VAR_ref_600_1,322,0.96,0.9,0.87,0.93
Sys_VAR_ref_600_1,330,0.83,0.53,0.46,0.63
Sys_VAR_ref_600_1,333,0.62,0.3,0.2,0.39
Sys_VAR_ref_600_1,339,0.79,0.49,0.4,0.59
Sys_VAR_ref_600_1,347,0.86,0.8,0.71,0.82
Sys_VAR_ref_600_1,356,0.91,0.54,0.49,0.67
Sys_VAR_ref_600_1,365,0.79,0.39,0.32,0.5
Sys_VAR_ref_600_1,370,0.89,0.47,0.42,0.6
Sys_VAR_ref_600_1,389,0.37,0.46,0.19,0.37
Sys_VAR_ref_600_1,392,0.7,0.61,0.46,0.64
Sys_VAR_ref_600_1,394,0.83,0.63,0.57,0.71
Sys_VAR_ref_600_1,396,0.91,0.72,0.66,0.8
Sys_VAR_ref_600_1,400,0.85,0.36,0.31,0.49
Sys_VAR_ref_600_1,405,0.62,0.42,0.28,0.5
Sys_VAR_ref_600_1,406,0.75,0.66,0.51,0.69
Sys_VAR_ref_600_1,413,0.78,0.4,0.32,0.51
Sys_VAR_ref_600_1,415,0.61,0.52,0.31,0.48
Sys_VAR_ref_600_1,419,0.78,0.51,0.48,0.6
Sys_VAR_ref_600_1,421,0.74,0.57,0.43,0.64
