score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_VAR_ref_600,3.7943,3.9141,-0.1198,-0.17,30.0,68.5,0.7831,0.7342,0.7754,0.7784
authenticity_score,Sys_VAR_ref_600,2.8081,3.0467,-0.2386,-0.1933,36.5,62.83,0.7913,0.7894,0.7709,0.791
