group,score_type,n_common_images,mean_score,std_across_runs (avg per-image std),cv_across_runs (avg per-image CV),icc_2_1 (absolute agreement),icc_3_1 (consistency),avg_pairwise_pearson_r
Sys_IMFfdloss_ref_500,alignment_score,337,3.964,0.3608,0.1198,0.7955,0.796,0.7978
Sys_IMFfdloss_ref_500,authenticity_score,337,2.9049,0.4218,0.1474,0.7019,0.7013,0.7013
Human_IMFfdloss_500,alignment_score,499,3.9861,0.2807,0.1007,0.8156,0.8153,0.8155
Human_IMFfdloss_500,authenticity_score,499,3.1617,0.431,0.1515,0.7102,0.711,0.7112
