score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_IMFfdloss_ref_500,3.8789,3.9881,-0.1092,-0.15,31.6,66.8,0.7709,0.6878,0.7639,0.7667
authenticity_score,Sys_IMFfdloss_ref_500,2.9067,3.1633,-0.2567,-0.2,30.6,68.4,0.7978,0.7987,0.7735,0.7978
