,N,Human_mean,AI_mean,Bias(AI-Human),Pearson_r,Pearson_p,Spearman_r,Spearman_p,CCC,"ICC(2,1)",MAE,RMSE
alignment,997,3.4925,3.7652,0.2727,0.4141,1.37e-42,0.3913,7.89e-38,0.6953,0.4062,1.113,1.5712
artifact,997,3.9082,2.6646,-1.2437,0.2981,6.64e-22,0.3062,4.33e-23,0.2289,0.1137,1.513,1.8172
