class_id,num_images,vendi_score
4,5,3.957146644592285
7,5,2.2631638050079346
10,5,2.905487060546875
25,5,2.4617013931274414
35,5,3.2069640159606934
39,5,2.369739294052124
49,5,2.712547779083252
51,5,2.7009198665618896
52,5,4.195186614990234
64,5,3.5675830841064453
80,5,3.323373556137085
97,5,3.848004102706909
106,5,2.809326410293579
116,5,2.004662275314331
118,5,3.077989339828491
129,5,2.612523078918457
144,5,2.2241430282592773
147,5,3.527256727218628
150,5,3.0563814640045166
156,5,3.217662811279297
159,5,3.4213860034942627
281,5,3.8561723232269287
300,5,2.189974308013916
322,5,3.8395211696624756
330,5,2.549819231033325
333,5,3.1382672786712646
339,5,3.188412666320801
347,5,2.816941022872925
356,5,3.3446407318115234
365,5,2.5219671726226807
370,5,3.0380141735076904
389,5,2.801473617553711
392,5,2.029740333557129
394,5,3.551734685897827
396,5,1.9269077777862549
400,5,2.5205225944519043
405,5,2.8570690155029297
406,5,3.932753086090088
413,5,3.0226941108703613
415,5,4.76303243637085
419,5,3.9422998428344727
421,5,2.4828693866729736
426,5,3.8190019130706787
429,5,4.022597312927246
432,5,3.543224811553955
443,5,3.1799886226654053
446,5,3.959876775741577
453,5,3.702846050262451
461,5,3.5109663009643555
477,5,3.793879985809326
479,5,3.3865182399749756
481,5,3.0359137058258057
488,5,4.471381187438965
499,5,4.567310333251953
529,5,4.256489276885986
535,5,3.5087273120880127
554,5,3.577732801437378
567,5,4.402338981628418
575,5,2.403791666030884
585,5,4.581072807312012
590,5,3.826296329498291
605,5,4.183455467224121
606,5,3.920996904373169
626,5,4.623075008392334
632,5,3.0899710655212402
633,5,3.6819519996643066
634,5,3.739375591278076
645,5,2.866877794265747
654,5,2.9055769443511963
679,5,3.145055055618286
687,5,2.3647608757019043
730,5,3.982562303543091
743,5,3.839365243911743
746,5,2.809744358062744
755,5,3.228010654449463
756,5,3.0933005809783936
806,5,2.82181715965271
810,5,3.065540075302124
819,5,3.317796468734741
836,5,3.965649366378784
903,5,4.415722846984863
917,5,3.2851972579956055
919,5,3.5185141563415527
920,5,3.21579647064209
922,5,3.1439154148101807
928,5,3.834315061569214
931,5,2.609945774078369
943,5,3.84055495262146
952,5,4.206800937652588
960,5,3.6710903644561768
962,5,3.7618894577026367
968,5,4.376967906951904
971,5,2.6657660007476807
972,5,3.9258062839508057
981,5,2.940157651901245
982,5,3.477219343185425
983,5,2.5466630458831787
985,5,3.681401491165161
991,5,2.7218987941741943
999,5,3.2282888889312744
OVERALL,500,231.572021484375
MEAN,500,3.330407247543335
MEDIAN,500,3.3014968633651733
