source,alignment_norm,artifact_norm,composite_product,composite_harmonic
Sys_DiT_noref_1,0.76,0.6,0.49,0.65
Sys_DiT_noref_2,0.75,0.59,0.48,0.64
Sys_DiT_noref_3,0.76,0.58,0.48,0.63
User_DiT_1,0.77,0.62,0.51,0.64
User_DiT_2,0.78,0.61,0.5,0.64
User_DiT_3,0.77,0.62,0.51,0.64
