score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_DiT_noref,3.7729,3.8685,-0.0956,-0.1933,32.6,66.6,0.7143,0.6509,0.7029,0.7043
artifact_score,Sys_DiT_noref,2.9565,3.0767,-0.1202,-0.1117,39.6,59.4,0.8264,0.8148,0.8218,0.8263
