score_type,source,n,mean,median,std,min,max,pct_<=1,pct_1-2,pct_2-3,pct_3-4,pct_4-5,skewness,kurtosis
alignment_score,Human (3人平均),500,3.8685,4.4,1.4356,0.0,5.0,7.2,5.8,8.6,15.8,62.6,-1.3583,0.8019
alignment_score,Sys_DiT_noref (3次平均),500,3.7729,4.15,1.213,0.0,5.0,4.6,7.0,9.2,22.0,57.2,-1.3531,1.0749
artifact_score,Human (3人平均),500,3.0767,3.0,1.1006,0.3333,5.0,6.8,17.4,26.8,33.2,15.8,-0.1916,-0.7848
artifact_score,Sys_DiT_noref (3次平均),500,2.9565,2.95,1.1155,0.3267,5.0,4.2,19.8,27.2,28.6,20.2,-0.0601,-0.8717
