class_id,class_name,num_images,vendi_score,vendi_ratio
4,,5,3.2453269958496094,0.3054947493611759
7,,5,2.6682205200195312,0.35388077346944014
10,,5,2.9151883125305176,0.44802642725776676
25,,5,2.2210631370544434,0.6057198232401964
35,,5,2.901271104812622,0.26568045283177055
39,,5,3.1538116931915283,0.41186545209738995
49,,5,3.4757113456726074,0.5000932388330203
51,,5,2.7955162525177,0.3563090051337205
52,,5,3.3126230239868164,0.4663311114316763
64,,5,3.160092830657959,0.4013606130201743
80,,5,3.1071853637695312,0.3002192127690747
97,,5,2.7744181156158447,0.4991196915025696
106,,5,3.558758020401001,0.9899203494989787
116,,5,3.3670105934143066,0.3075272686317903
118,,5,3.6081511974334717,0.48625814814341184
129,,5,3.441391944885254,0.368014834974372
144,,5,3.233678102493286,0.5644894172299132
147,,5,3.5621445178985596,0.3636532841865145
150,,5,3.551055669784546,0.484863257375083
156,,5,2.576650619506836,0.19297231028112544
159,,5,3.7896738052368164,0.2671428423529829
281,,5,2.8710412979125977,0.3300284500385663
300,,5,2.8139209747314453,0.4244570195208425
322,,5,2.907593011856079,0.17792922695914418
330,,5,2.4737086296081543,0.1518559839841959
333,,5,2.4963715076446533,0.3623144921076963
339,,5,3.272777557373047,0.4358148990969786
347,,5,2.901522397994995,0.27547681324577616
356,,5,3.633302927017212,0.3940854050915067
365,,5,2.3968403339385986,0.4804874733434971
370,,5,3.647233486175537,0.3572772557859013
389,,5,2.440497398376465,0.5334950119445234
392,,5,2.2378618717193604,0.15220434978493533
394,,5,4.609296798706055,0.898494706571607
396,,5,2.2230823040008545,0.1436523281631979
400,,5,2.3847665786743164,0.1203473726866446
405,,5,2.751720666885376,0.19422567359641527
406,,5,2.623051404953003,0.23726912257304272
413,,5,3.410147190093994,0.13763367211240718
415,,5,3.8025286197662354,0.1842897125022613
419,,5,4.7559709548950195,0.26392349421156736
421,,5,3.884552478790283,0.412518123156036
426,,5,2.957428455352783,0.30932539065056025
429,,5,1.8427945375442505,0.10099432740262851
432,,5,3.586074113845825,0.41013573531923603
443,,5,3.559903621673584,0.14333193821815635
446,,5,4.495772838592529,0.29073798942425466
453,,5,3.1045868396759033,0.1413868654129194
461,,5,2.4137842655181885,0.10247706931278024
477,,5,3.643488645553589,0.7373211241437547
479,,5,3.6290414333343506,0.12971792805331225
481,,5,3.1707546710968018,0.25062288671177024
488,,5,4.331395149230957,0.3010234924806048
499,,5,3.701169729232788,0.2818918607179016
529,,5,3.413224220275879,0.7449592793823396
535,,5,3.4606246948242188,0.17151481670124635
554,,5,2.664224624633789,0.3031748558785313
567,,5,4.15772008895874,0.7410384397227976
575,,5,3.145522117614746,0.4211775908456238
585,,5,4.516619682312012,0.2255513293425767
590,,5,3.7761619091033936,0.2286306910068684
605,,5,4.092963695526123,1.528839238291874
606,,5,4.560929775238037,0.4633616828780099
626,,5,4.445689678192139,0.5982577458614133
632,,5,3.714796304702759,0.2106941394816289
633,,5,3.976851463317871,0.19770244912162924
634,,5,3.982332706451416,0.14004300447081494
645,,5,2.5350005626678467,0.1863033073113588
654,,5,2.825559616088867,0.18199398319481347
679,,5,3.086678981781006,0.16547882254729052
687,,5,2.744748830795288,0.14182778403178592
730,,5,3.4035286903381348,0.2822780640129842
743,,5,4.686389923095703,0.2739856388864511
746,,5,3.9985415935516357,0.23453901796655327
755,,5,2.593177080154419,0.1389964874948601
756,,5,3.2887508869171143,0.7004653105670775
806,,5,2.3805251121520996,0.25908051672424676
810,,5,2.3390049934387207,0.09645861661492709
819,,5,3.3279452323913574,0.09579985219340702
836,,5,3.6599223613739014,0.28812581309041024
903,,5,3.629206895828247,0.22899437301352382
917,,5,2.5522947311401367,0.15172175728351173
919,,5,3.042344808578491,0.3862359987577993
920,,5,3.8269927501678467,0.20815397965462218
922,,5,3.495392322540283,0.12065349159553297
928,,5,3.7342329025268555,0.5595816914181774
931,,5,2.296093463897705,0.14943506010630767
943,,5,4.011611461639404,0.23177597741174646
952,,5,3.6790692806243896,0.25699398575049015
960,,5,4.008425712585449,0.5879199797850617
962,,5,3.5456652641296387,0.13609392198657108
968,,5,3.7580392360687256,0.31538756531307216
971,,5,3.7708802223205566,0.1671352716079806
972,,5,4.451430320739746,0.445623726842338
981,,5,2.3853726387023926,0.16440444772768398
982,,5,3.371826648712158,0.30724547065752533
983,,5,1.97050940990448,0.11591268237115146
985,,5,3.345141649246216,0.44325919743166
991,,5,2.3418967723846436,0.24619662771751444
999,,5,4.158045291900635,0.35641517668725387
OVERALL,,500,176.5518341064453,
MEAN,,500,3.2954483246803283,
MEDIAN,,500,3.3560761213302612,
STD,,500,0.6699463961115936,
MIN,,500,1.8427945375442505,
MAX,,500,4.7559709548950195,
MEAN_VENDI_RATIO,,500,,0.33405108318687815
MEDIAN_VENDI_RATIO,,500,,0.28520193855169723
STD_VENDI_RATIO,,500,,0.21604419676275788
MIN_VENDI_RATIO,,500,,0.09579985219340702
MAX_VENDI_RATIO,,500,,1.528839238291874
