group,score_type,n_common_images,mean_score,std_across_runs (avg per-image std),cv_across_runs (avg per-image CV),icc_2_1 (absolute agreement),icc_3_1 (consistency),avg_pairwise_pearson_r
Sys_DiT_ref_500,alignment_score,500,3.7677,0.3645,0.1562,0.8364,0.8366,0.8368
Sys_DiT_ref_500,authenticity_score,500,2.8461,0.4281,0.1649,0.7545,0.7549,0.7548
Human_DiT_500,alignment_score,500,3.8685,0.3148,0.1542,0.8121,0.812,0.8121
Human_DiT_500,authenticity_score,500,3.0767,0.4244,0.154,0.7563,0.7569,0.757
