source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_DiT_ref_2,985,0.69,0.77,0.57,0.67,1.72,0.75,0.98,0.43,1.16,0.5
Sys_DiT_ref_2,991,0.98,0.93,0.92,0.96,0.4,0.62,0.37,0.57,0.38,0.59
Sys_DiT_ref_2,999,0.86,0.6,0.52,0.7,1.3,1.01,0.67,0.52,0.91,0.71
Sys_DiT_ref_3,4,0.92,0.75,0.69,0.82,0.87,0.78,0.6,0.54,0.72,0.64
Sys_DiT_ref_3,7,0.88,0.69,0.62,0.76,0.49,0.71,0.3,0.44,0.37,0.54
Sys_DiT_ref_3,10,0.79,0.61,0.52,0.66,0.83,0.9,0.43,0.47,0.55,0.59
Sys_DiT_ref_3,25,0.88,0.65,0.58,0.74,1.11,0.83,0.64,0.48,0.82,0.61
Sys_DiT_ref_3,35,0.76,0.6,0.47,0.66,1.0,0.83,0.47,0.39,0.66,0.54
Sys_DiT_ref_3,39,0.74,0.58,0.47,0.65,0.77,0.89,0.36,0.42,0.49,0.58
Sys_DiT_ref_3,49,0.85,0.76,0.66,0.8,1.17,1.16,0.77,0.77,0.93,0.93
Sys_DiT_ref_3,51,0.85,0.82,0.73,0.83,0.83,0.91,0.6,0.66,0.69,0.75
Sys_DiT_ref_3,52,0.78,0.68,0.57,0.71,2.47,1.04,1.4,0.59,1.76,0.74
Sys_DiT_ref_3,64,0.69,0.69,0.54,0.68,1.14,0.91,0.61,0.49,0.77,0.62
Sys_DiT_ref_3,80,0.81,0.49,0.39,0.59,0.29,0.47,0.11,0.18,0.17,0.27
Sys_DiT_ref_3,97,0.98,0.89,0.88,0.93,1.41,0.84,1.23,0.73,1.3,0.77
Sys_DiT_ref_3,106,0.88,0.55,0.49,0.68,2.51,0.76,1.23,0.37,1.69,0.51
Sys_DiT_ref_3,116,0.85,0.8,0.68,0.82,0.43,0.71,0.29,0.49,0.35,0.58
Sys_DiT_ref_3,118,0.62,0.41,0.26,0.49,1.12,0.82,0.3,0.21,0.55,0.4
Sys_DiT_ref_3,129,0.86,0.43,0.38,0.56,0.68,1.04,0.26,0.39,0.38,0.59
Sys_DiT_ref_3,144,0.9,0.39,0.36,0.53,1.13,1.01,0.4,0.36,0.6,0.53
Sys_DiT_ref_3,147,0.88,0.77,0.67,0.81,0.83,0.75,0.56,0.5,0.67,0.6
Sys_DiT_ref_3,150,0.88,0.54,0.49,0.65,1.51,1.03,0.74,0.5,0.98,0.67
Sys_DiT_ref_3,156,0.96,0.56,0.54,0.68,0.47,0.8,0.25,0.43,0.32,0.55
