score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_DiT_ref_500,3.7677,3.8685,-0.1009,-0.17,28.0,71.0,0.7765,0.7243,0.769,0.7708
artifact_score,Sys_DiT_ref_500,2.8461,3.0767,-0.2305,-0.15,33.2,65.6,0.8504,0.8525,0.8315,0.8501
