group,score_type,n_common_images,mean_score,std_across_runs (avg per-image std),cv_across_runs (avg per-image CV),icc_2_1 (absolute agreement),icc_3_1 (consistency),avg_pairwise_pearson_r
Sys_VAR_ref_500,alignment_score,499,3.7901,0.3643,0.1523,0.8202,0.8208,0.821
Sys_VAR_ref_500,authenticity_score,499,2.8307,0.4493,0.1635,0.7043,0.7048,0.7048
Human_VAR_500,alignment_score,500,3.9191,0.3008,0.1263,0.8207,0.821,0.8211
Human_VAR_500,authenticity_score,500,3.0453,0.3912,0.1432,0.737,0.7371,0.7371
