score_type,sys_group,human_group,sys_source,human_source,aggregation,n_common,threshold,n_positive,n_negative,auc
alignment_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_1,User_VAR_500_1,individual,500,4.38,278,222,0.7996
alignment_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_1,User_VAR_500_2,individual,500,4.38,254,246,0.8227
alignment_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_1,User_VAR_500_3,individual,500,4.38,270,230,0.8127
alignment_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_2,User_VAR_500_1,individual,499,4.38,277,222,0.8259
alignment_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_2,User_VAR_500_2,individual,499,4.38,253,246,0.8118
alignment_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_2,User_VAR_500_3,individual,499,4.38,269,230,0.8036
alignment_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_3,User_VAR_500_1,individual,500,4.38,278,222,0.8651
alignment_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_3,User_VAR_500_2,individual,500,4.38,254,246,0.8392
alignment_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_3,User_VAR_500_3,individual,500,4.38,270,230,0.8332
artifact_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_1,User_VAR_500_1,individual,500,3.0,318,182,0.8367
artifact_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_1,User_VAR_500_2,individual,500,3.0,328,172,0.8209
artifact_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_1,User_VAR_500_3,individual,500,3.0,331,169,0.8051
artifact_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_2,User_VAR_500_1,individual,499,3.0,317,182,0.8425
artifact_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_2,User_VAR_500_2,individual,499,3.0,327,172,0.8399
artifact_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_2,User_VAR_500_3,individual,499,3.0,330,169,0.8202
artifact_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_3,User_VAR_500_1,individual,500,3.0,318,182,0.8189
artifact_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_3,User_VAR_500_2,individual,500,3.0,328,172,0.8389
artifact_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500_3,User_VAR_500_3,individual,500,3.0,331,169,0.829
alignment_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500 (avg),Human_VAR_500 (avg),group_avg,500,4.38,256,244,0.8818
artifact_score,Sys_VAR_ref_500,Human_VAR_500,Sys_VAR_ref_500 (avg),Human_VAR_500 (avg),group_avg,500,3.0,292,208,0.8934
