source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_VAR_ref_500_1,499,0.43,0.36,0.23,0.37,1.32,1.11,0.3,0.25,0.49,0.41
Sys_VAR_ref_500_1,529,0.89,0.57,0.5,0.68,3.25,0.8,1.63,0.4,2.2,0.54
Sys_VAR_ref_500_1,535,0.79,0.6,0.5,0.68,0.42,0.81,0.21,0.4,0.29,0.56
Sys_VAR_ref_500_1,554,0.89,0.48,0.44,0.61,1.0,0.76,0.44,0.33,0.61,0.47
Sys_VAR_ref_500_1,567,0.71,0.49,0.4,0.57,3.66,0.89,1.47,0.36,2.09,0.51
Sys_VAR_ref_500_1,575,0.91,0.48,0.44,0.61,0.76,0.79,0.33,0.35,0.46,0.49
Sys_VAR_ref_500_1,585,0.33,0.41,0.19,0.33,1.38,1.03,0.26,0.2,0.45,0.34
Sys_VAR_ref_500_1,590,0.72,0.54,0.42,0.62,1.05,0.87,0.44,0.37,0.65,0.54
Sys_VAR_ref_500_1,605,0.51,0.61,0.38,0.48,4.74,1.04,1.79,0.39,2.29,0.51
Sys_VAR_ref_500_1,606,0.74,0.49,0.41,0.54,0.78,0.62,0.32,0.26,0.42,0.34
Sys_VAR_ref_500_1,626,0.55,0.35,0.2,0.37,3.21,1.03,0.65,0.21,1.17,0.38
Sys_VAR_ref_500_1,632,0.88,0.58,0.52,0.69,0.95,0.89,0.49,0.46,0.66,0.62
Sys_VAR_ref_500_1,633,0.72,0.4,0.31,0.49,1.08,1.06,0.33,0.32,0.53,0.52
Sys_VAR_ref_500_1,634,0.56,0.52,0.31,0.51,0.46,0.75,0.14,0.23,0.23,0.38
Sys_VAR_ref_500_1,645,0.9,0.46,0.41,0.58,0.39,0.63,0.16,0.26,0.23,0.37
Sys_VAR_ref_500_1,654,0.95,0.55,0.52,0.69,0.88,0.73,0.46,0.38,0.6,0.5
Sys_VAR_ref_500_1,679,0.73,0.59,0.45,0.65,0.55,0.66,0.25,0.3,0.36,0.42
Sys_VAR_ref_500_1,687,0.95,0.71,0.67,0.81,0.27,0.63,0.18,0.42,0.22,0.51
Sys_VAR_ref_500_1,730,0.6,0.44,0.29,0.46,1.13,0.85,0.33,0.25,0.52,0.39
Sys_VAR_ref_500_1,743,0.82,0.71,0.58,0.75,1.1,0.83,0.64,0.48,0.83,0.62
Sys_VAR_ref_500_1,746,0.54,0.37,0.24,0.34,0.55,1.06,0.13,0.25,0.19,0.36
Sys_VAR_ref_500_1,755,0.81,0.68,0.55,0.73,0.24,0.98,0.13,0.54,0.17,0.71
Sys_VAR_ref_500_1,756,0.86,0.61,0.53,0.7,2.29,0.78,1.21,0.41,1.6,0.54
Sys_VAR_ref_500_1,806,0.95,0.84,0.8,0.88,1.08,1.06,0.87,0.85,0.96,0.94
Sys_VAR_ref_500_1,810,0.7,0.61,0.5,0.63,0.38,0.91,0.19,0.45,0.24,0.57
Sys_VAR_ref_500_1,819,0.72,0.39,0.27,0.48,0.38,0.72,0.1,0.2,0.18,0.35
Sys_VAR_ref_500_1,836,0.23,0.56,0.15,0.21,1.23,0.82,0.19,0.12,0.26,0.17
Sys_VAR_ref_500_1,903,0.62,0.51,0.35,0.55,1.1,0.76,0.39,0.27,0.61,0.42
Sys_VAR_ref_500_1,917,0.75,0.47,0.36,0.57,0.5,0.41,0.18,0.15,0.29,0.23
Sys_VAR_ref_500_1,919,0.43,0.3,0.13,0.34,1.32,0.73,0.17,0.1,0.46,0.25
Sys_VAR_ref_500_1,920,0.81,0.74,0.6,0.75,0.77,0.96,0.46,0.57,0.58,0.72
Sys_VAR_ref_500_1,922,0.28,0.3,0.1,0.24,0.47,0.78,0.05,0.08,0.11,0.19
Sys_VAR_ref_500_1,928,0.75,0.69,0.51,0.7,2.3,0.76,1.18,0.39,1.6,0.53
Sys_VAR_ref_500_1,931,0.82,0.65,0.53,0.69,0.63,0.86,0.33,0.45,0.44,0.59
Sys_VAR_ref_500_1,943,0.92,0.81,0.74,0.86,0.88,0.9,0.65,0.67,0.75,0.77
Sys_VAR_ref_500_1,952,0.78,0.87,0.65,0.72,0.72,0.73,0.47,0.48,0.52,0.53
Sys_VAR_ref_500_1,960,0.95,0.72,0.68,0.81,2.64,0.74,1.79,0.5,2.14,0.6
Sys_VAR_ref_500_1,962,0.85,0.74,0.63,0.79,0.56,0.75,0.36,0.47,0.44,0.59
Sys_VAR_ref_500_1,968,0.89,0.62,0.56,0.72,2.03,0.92,1.14,0.52,1.46,0.66
Sys_VAR_ref_500_1,971,0.9,0.56,0.51,0.66,0.3,0.66,0.15,0.34,0.2,0.44
Sys_VAR_ref_500_1,972,0.92,0.58,0.54,0.68,1.93,0.79,1.03,0.43,1.32,0.54
Sys_VAR_ref_500_1,981,0.76,0.32,0.24,0.45,0.53,0.79,0.13,0.19,0.24,0.35
Sys_VAR_ref_500_1,982,0.53,0.33,0.17,0.39,0.93,0.72,0.16,0.12,0.37,0.28
Sys_VAR_ref_500_1,983,0.79,0.51,0.42,0.61,0.32,0.61,0.14,0.26,0.2,0.37
Sys_VAR_ref_500_1,985,0.68,0.8,0.56,0.66,1.92,0.83,1.08,0.47,1.27,0.55
Sys_VAR_ref_500_1,991,0.92,0.82,0.76,0.86,0.43,0.68,0.33,0.52,0.38,0.58
Sys_VAR_ref_500_1,999,0.72,0.61,0.51,0.63,1.29,1.0,0.66,0.51,0.81,0.63
Sys_VAR_ref_500_2,4,0.92,0.69,0.63,0.78,1.15,1.02,0.73,0.65,0.9,0.8
Sys_VAR_ref_500_2,7,0.84,0.56,0.47,0.65,0.59,0.86,0.28,0.41,0.38,0.56
Sys_VAR_ref_500_2,10,0.81,0.59,0.51,0.66,0.89,0.96,0.45,0.48,0.59,0.63
