score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_VAR_ref_500,3.7907,3.9191,-0.1284,-0.1533,32.6,66.2,0.8001,0.7215,0.7921,0.7958
artifact_score,Sys_VAR_ref_500,2.8281,3.0453,-0.2173,-0.1683,36.8,62.8,0.7722,0.7692,0.7552,0.7722
