group,score_type,n_common_images,mean_score,std_across_runs (avg per-image std),cv_across_runs (avg per-image CV),icc_2_1 (absolute agreement),icc_3_1 (consistency),avg_pairwise_pearson_r
Sys_DiT_noref,alignment_score,500,3.7729,0.3491,0.1326,0.8369,0.8368,0.8368
Sys_DiT_noref,authenticity_score,500,2.9565,0.534,0.2108,0.7153,0.7155,0.7157
Human_DiT_500,alignment_score,500,3.8685,0.3148,0.1542,0.8121,0.812,0.8121
Human_DiT_500,authenticity_score,500,3.0767,0.4244,0.154,0.7563,0.7569,0.757
