source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean
Sys_VAR_ref_1,4,0.88,0.61,0.54,0.71
Sys_VAR_ref_1,7,0.84,0.51,0.44,0.61
Sys_VAR_ref_1,10,0.8,0.57,0.46,0.63
Sys_VAR_ref_1,25,0.81,0.67,0.58,0.71
Sys_VAR_ref_1,35,0.7,0.53,0.41,0.59
Sys_VAR_ref_1,39,0.83,0.68,0.6,0.73
Sys_VAR_ref_1,49,0.71,0.67,0.5,0.68
Sys_VAR_ref_1,51,0.88,0.7,0.64,0.76
Sys_VAR_ref_1,52,0.8,0.75,0.63,0.77
Sys_VAR_ref_1,64,0.72,0.67,0.51,0.67
Sys_VAR_ref_1,80,0.85,0.36,0.31,0.5
Sys_VAR_ref_1,97,0.92,0.69,0.63,0.75
Sys_VAR_ref_1,106,0.93,0.63,0.59,0.73
Sys_VAR_ref_1,116,0.95,0.81,0.78,0.87
Sys_VAR_ref_1,118,0.65,0.46,0.34,0.53
Sys_VAR_ref_1,129,0.8,0.45,0.37,0.56
Sys_VAR_ref_1,144,0.85,0.43,0.37,0.55
Sys_VAR_ref_1,147,0.89,0.68,0.62,0.77
Sys_VAR_ref_1,150,0.83,0.44,0.37,0.56
Sys_VAR_ref_1,156,0.9,0.42,0.39,0.56
Sys_VAR_ref_1,159,0.74,0.4,0.3,0.51
Sys_VAR_ref_1,281,0.81,0.29,0.24,0.42
Sys_VAR_ref_1,300,0.85,0.7,0.65,0.75
Sys_VAR_ref_1,322,0.89,0.83,0.78,0.85
Sys_VAR_ref_1,330,0.85,0.52,0.45,0.63
Sys_VAR_ref_1,333,0.64,0.33,0.22,0.43
Sys_VAR_ref_1,339,0.74,0.45,0.35,0.54
Sys_VAR_ref_1,347,0.9,0.7,0.64,0.76
Sys_VAR_ref_1,356,0.9,0.53,0.49,0.65
Sys_VAR_ref_1,365,0.81,0.39,0.33,0.51
Sys_VAR_ref_1,370,0.87,0.43,0.38,0.56
Sys_VAR_ref_1,389,0.35,0.44,0.17,0.36
Sys_VAR_ref_1,392,0.71,0.62,0.48,0.66
Sys_VAR_ref_1,394,0.88,0.65,0.6,0.73
Sys_VAR_ref_1,396,0.93,0.76,0.71,0.83
Sys_VAR_ref_1,400,0.88,0.45,0.41,0.56
Sys_VAR_ref_1,405,0.67,0.49,0.35,0.56
Sys_VAR_ref_1,406,0.79,0.61,0.5,0.68
Sys_VAR_ref_1,413,0.78,0.48,0.36,0.55
Sys_VAR_ref_1,415,0.46,0.58,0.25,0.42
Sys_VAR_ref_1,419,0.73,0.54,0.45,0.59
Sys_VAR_ref_1,421,0.64,0.49,0.33,0.55
Sys_VAR_ref_1,426,0.55,0.35,0.19,0.41
Sys_VAR_ref_1,429,0.54,0.51,0.37,0.5
Sys_VAR_ref_1,432,0.86,0.48,0.42,0.58
Sys_VAR_ref_1,443,0.87,0.73,0.64,0.76
