score_type,sys_group,human_group,sys_source,human_source,aggregation,n_common,threshold,n_positive,n_negative,auc
alignment_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_1,User_VAR_1,individual,998,4.38,550,448,0.8147
alignment_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_1,User_VAR_2,individual,998,4.38,510,488,0.8273
alignment_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_1,User_VAR_3,individual,997,4.38,530,467,0.8222
alignment_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_2,User_VAR_1,individual,998,4.38,549,449,0.8264
alignment_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_2,User_VAR_2,individual,998,4.38,509,489,0.8116
alignment_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_2,User_VAR_3,individual,997,4.38,529,468,0.8176
alignment_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_3,User_VAR_1,individual,999,4.38,550,449,0.8513
alignment_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_3,User_VAR_2,individual,999,4.38,510,489,0.8127
alignment_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_3,User_VAR_3,individual,998,4.38,530,468,0.8295
authenticity_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_1,User_VAR_1,individual,998,3.0,633,365,0.8149
authenticity_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_1,User_VAR_2,individual,998,3.0,647,351,0.8115
authenticity_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_1,User_VAR_3,individual,997,3.0,671,326,0.7962
authenticity_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_2,User_VAR_1,individual,998,3.0,632,366,0.8516
authenticity_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_2,User_VAR_2,individual,998,3.0,646,352,0.8395
authenticity_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_2,User_VAR_3,individual,997,3.0,670,327,0.8202
authenticity_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_3,User_VAR_1,individual,999,3.0,633,366,0.8287
authenticity_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_3,User_VAR_2,individual,999,3.0,647,352,0.8381
authenticity_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_3,User_VAR_3,individual,998,3.0,671,327,0.8205
alignment_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_1000 (avg),Human_VAR_1000 (avg),group_avg,999,4.38,513,486,0.882
authenticity_score,Sys_VAR_ref_1000,Human_VAR_1000,Sys_VAR_ref_1000 (avg),Human_VAR_1000 (avg),group_avg,999,3.0,584,415,0.888
