score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_VAR_ref_1000,3.823,3.9321,-0.1091,-0.1633,32.13,66.77,0.7784,0.731,0.7697,0.7724
authenticity_score,Sys_VAR_ref_1000,2.8156,3.0494,-0.2338,-0.1833,36.64,62.76,0.772,0.7663,0.7526,0.7719
