source,alignment_norm,authenticity_norm,composite_product,composite_harmonic,alignment_norm_std,alignment_norm_se,alignment_norm_ci_low,alignment_norm_ci_high,authenticity_norm_std,authenticity_norm_se,authenticity_norm_ci_low,authenticity_norm_ci_high,composite_product_std,composite_product_se,composite_product_ci_low,composite_product_ci_high,composite_harmonic_std,composite_harmonic_se,composite_harmonic_ci_low,composite_harmonic_ci_high
Sys_VAR_ref_1,0.7619,0.5555,0.4519,0.6143,0.147,0.0147,0.7327,0.7911,0.136,0.0136,0.5285,0.5825,0.1564,0.0156,0.4209,0.4829,0.1362,0.0136,0.5873,0.6413
Sys_VAR_ref_2,0.7681,0.5623,0.4599,0.6219,0.1436,0.0144,0.7396,0.7966,0.1327,0.0133,0.536,0.5886,0.1557,0.0156,0.429,0.4908,0.1372,0.0137,0.5947,0.6491
Sys_VAR_ref_3,0.7645,0.5721,0.4657,0.6262,0.1515,0.0152,0.7344,0.7946,0.1398,0.014,0.5444,0.5998,0.1582,0.0158,0.4343,0.4971,0.1411,0.0141,0.5982,0.6542
User_VAR_1,0.794,0.6058,0.5082,0.6497,0.1799,0.018,0.7583,0.8297,0.1326,0.0133,0.5795,0.6321,0.173,0.0173,0.4739,0.5425,0.1602,0.016,0.6179,0.6815
User_VAR_2,0.7821,0.6056,0.4996,0.6434,0.1751,0.0175,0.7473,0.8169,0.1409,0.0141,0.5776,0.6336,0.1762,0.0176,0.4646,0.5346,0.163,0.0163,0.6111,0.6757
User_VAR_3,0.783,0.6178,0.51,0.65,0.1841,0.0184,0.7465,0.8195,0.1347,0.0135,0.5911,0.6445,0.1793,0.0179,0.4744,0.5456,0.1642,0.0164,0.6174,0.6826
Sys_VAR_ref_1000_AVG_STATS,0.7648,0.5633,0.4592,0.6208,0.1474,0.0148,0.7356,0.7941,0.1362,0.0136,0.5363,0.5903,0.1568,0.0157,0.4281,0.4903,0.1382,0.0138,0.5934,0.6482
Sys_VAR_ref_1000_AVG_PERCLASS,0.7648,0.5633,0.4592,0.6208,0.1454,0.0145,0.736,0.7937,0.1326,0.0133,0.537,0.5896,0.1535,0.0154,0.4287,0.4896,0.1357,0.0136,0.5939,0.6477
Human_VAR_1000_AVG_STATS,0.7864,0.6097,0.5059,0.6477,0.1797,0.018,0.7507,0.822,0.1361,0.0136,0.5827,0.6367,0.1762,0.0176,0.471,0.5409,0.1625,0.0162,0.6155,0.6799
Human_VAR_1000_AVG_PERCLASS,0.7864,0.6097,0.5059,0.6477,0.1778,0.0178,0.7511,0.8217,0.1325,0.0133,0.5834,0.636,0.1735,0.0173,0.4715,0.5404,0.1602,0.016,0.6159,0.6795
